,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
38,1090362003,3227975250,19171,Stargate Connections Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716,True,2224,4.9115631863785476e-05,44.99640287769784
39,3227975250,1090362003,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2666,-123.1976,False,1778,7.550517692437567e-05,44.99268841394826
40,1176778026,3227975251,40029,Novus Entertainment Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,True,131,1.6349075121474073e-05,44.94656488549618
41,3227975250,3475127854,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.55,-113.5,False,614,3.3696506795462207e-06,44.90228013029316
42,3463715872,3227975250,852,TELUS Communications Inc.,49.3615,-123.2627,395152,CloudPBX,43.6319,-79.3716,True,434,6.223434069024247e-05,44.99308755760369
43,1653560604,3227975250,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,True,472,8.653642782567391e-05,45.0
44,3227975250,1653560604,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,False,380,6.509658615653169e-05,44.997368421052634
45,3227975250,1090360654,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2866,-123.1158,False,569,2.3925123491974177e-06,45.0
46,1674011774,3227975250,852,TELUS Communications Inc.,49.2667,-122.7833,395152,CloudPBX,43.6319,-79.3716,True,431,0.00028385208259350226,44.849187935034806
47,3640363090,3227975250,14007,Skyway West,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,True,4130,0.00020857642708430532,44.949394673123486
48,3227975250,3640363090,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2788,-123.1139,False,3417,0.00040430125308015143,44.96312554872696
49,1090360550,3227975251,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,True,339,5.861792102113722e-05,44.87020648967552
50,1090360462,3227975250,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,True,1289,0.0008153194254702657,44.972847168347556
51,3227975251,3330677851,395152,CloudPBX,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,False,724,0.0003452726269215928,44.976519337016576
52,3227975250,875246285,395152,CloudPBX,43.6319,-79.3716,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,False,1323,1.2226617212264333e-05,44.99546485260771
53,3091631882,3227975251,6327,Shaw Communications Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,True,430,0.00016496720573117165,44.90930232558139
54,1613813930,3227975251,6327,Shaw Communications Inc.,49.0997,-122.6526,395152,CloudPBX,43.6319,-79.3716,True,92,0.0001941319531700656,44.91304347826087
55,3463713115,3227975251,852,TELUS Communications Inc.,43.6319,-79.3716,395152,CloudPBX,43.6319,-79.3716,True,116,3.2794744414212054e-05,44.96551724137931
56,408226899,3227975250,6327,Shaw Communications Inc.,49.17,-123.1368,395152,CloudPBX,43.6319,-79.3716,True,11,0.0,45.0
57,3624749586,3227975251,15290,Allstream Corp.,43.5924,-79.7611,395152,CloudPBX,43.6319,-79.3716,True,435,0.0002519650617359232,44.96781609195402
58,875246285,3227975251,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,395152,CloudPBX,43.6319,-79.3716,True,651,4.598671397394571e-05,44.996927803379414
59,3478238498,3227975251,852,TELUS Communications Inc.,49.25,-123.1333,395152,CloudPBX,43.6319,-79.3716,True,198,4.987302384157464e-06,45.0
60,3227975250,3632003165,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.4609,-113.4519,False,500,7.823365673262013e-05,44.99
61,3227975251,1653560604,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,False,350,4.928086666851469e-06,45.0
62,3091347451,3227975251,6327,Shaw Communications Inc.,48.4765,-123.3145,395152,CloudPBX,43.6319,-79.3716,True,26,0.003687915574848224,44.76923076923077
63,3227975251,875246285,395152,CloudPBX,43.6319,-79.3716,16509,"Amazon.com, Inc.",45.8696,-119.68799999999999,False,1343,1.164540758552936e-05,44.99255398361876
64,2728149921,3227975250,852,TELUS Communications Inc.,49.1838,-121.9046,395152,CloudPBX,43.6319,-79.3716,True,3,0.00015910276473656755,45.0
65,2914320357,3227975250,852,TELUS Communications Inc.,49.2196,-122.6164,395152,CloudPBX,43.6319,-79.3716,True,44,0.00030680246447881306,45.0
66,3227975250,1613813930,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.0997,-122.6526,False,27,1.972993618006897e-05,45.0
67,3227975250,1674011774,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2667,-122.7833,False,291,0.00011615966971341505,44.876288659793815
68,1614103491,3227975251,6327,Shaw Communications Inc.,49.0787,-121.6098,395152,CloudPBX,43.6319,-79.3716,True,330,0.0001586157128307384,44.96666666666667
69,3487077158,3227975251,852,TELUS Communications Inc.,49.2436,-122.7865,395152,CloudPBX,43.6319,-79.3716,True,53,1.9192825818909002e-05,44.9811320754717
70,1613813930,3227975250,6327,Shaw Communications Inc.,49.0997,-122.6526,395152,CloudPBX,43.6319,-79.3716,True,83,4.933710503814418e-06,44.963855421686745
71,3227975251,2919755137,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2475,-123.12100000000001,False,177,0.07774307620959847,42.40677966101695
72,3463715872,3227975251,852,TELUS Communications Inc.,49.3615,-123.2627,395152,CloudPBX,43.6319,-79.3716,True,422,0.0002481811117101862,44.997630331753555
