,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
54,2393314975,1654599250,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,259
55,1654599250,2914253051,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,45.5528,-73.6411,231
56,2393249330,1654599250,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242,192
57,1654599250,2393249330,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729,225
58,3638379610,1654599250,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,3
59,1654599251,2393249330,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729,237
60,1096686281,1654599251,577,Bell Canada,46.7749,-71.3344,395766,CloudPBX,40.7432,-75.2242,116
61,1676840295,1654599251,812,Rogers Communications Canada Inc.,48.9682,-54.5906,395766,CloudPBX,40.7432,-75.2242,69
62,1654599251,2394021867,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,45.0691,-64.4696,128
63,2393257342,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,71
64,3345303600,1654599251,14007,Skyway West,43.623000000000005,-79.3936,395766,CloudPBX,40.7432,-75.2242,367
65,1654599251,3345303600,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,43.623000000000005,-79.3936,273
66,2392989210,1654599251,855,Bell Canada,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,30
67,2393257058,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,52
68,1676918269,1654599251,812,Rogers Communications Canada Inc.,43.0443,-81.2391,395766,CloudPBX,40.7432,-75.2242,16
69,1654599250,2904575889,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926,168
70,1210508163,1654599251,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,369
71,2393314965,1654599250,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,74
72,1612181439,1654599250,5769,Videotron Telecom Ltee,45.4667,-73.8833,395766,CloudPBX,40.7432,-75.2242,9
73,855010549,1654599251,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,395766,CloudPBX,40.7432,-75.2242,126
74,1611994918,1654599251,5769,Videotron Telecom Ltee,46.8287,-71.334,395766,CloudPBX,40.7432,-75.2242,386
75,1654599251,1611994918,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,46.8287,-71.334,160
76,2393098834,1654599250,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242,205
77,2393098834,1654599251,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242,224
78,1675902784,1654599250,812,Rogers Communications Canada Inc.,43.8582,-79.3985,395766,CloudPBX,40.7432,-75.2242,593
79,1654599250,2393314965,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5194,-52.8122,28
80,1677535485,1654599250,812,Rogers Communications Canada Inc.,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,62
81,1654599250,3514831954,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5167,-52.7833,103
82,1654599251,1096686281,395766,CloudPBX,40.7432,-75.2242,577,Bell Canada,46.7749,-71.3344,23
83,3480447027,1654599251,11478,Openface Inc.,45.4805,-73.5554,395766,CloudPBX,40.7432,-75.2242,317
84,3626900266,1654599251,11478,Openface Inc.,45.47,-73.6686,395766,CloudPBX,40.7432,-75.2242,746
85,1826039003,1654599251,7018,"AT&T Services, Inc.",39.7838,-86.0477,395766,CloudPBX,40.7432,-75.2242,176
86,3345303600,1654599250,14007,Skyway West,43.623000000000005,-79.3936,395766,CloudPBX,40.7432,-75.2242,357
87,1654599250,3345303600,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,43.623000000000005,-79.3936,264
88,3638379076,1654599250,7992,Cogeco Cable,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,688
89,2394021867,1654599250,855,Bell Canada,45.0691,-64.4696,395766,CloudPBX,40.7432,-75.2242,424
90,3507478250,1654599250,13768,Cogeco Peer 1,43.6021,-79.5402,395766,CloudPBX,40.7432,-75.2242,109
91,855010549,1654599250,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,395766,CloudPBX,40.7432,-75.2242,128
92,1675902784,1654599251,812,Rogers Communications Canada Inc.,43.8582,-79.3985,395766,CloudPBX,40.7432,-75.2242,607
93,2886637142,1654599250,7018,"AT&T Services, Inc.",39.8227,-86.145,395766,CloudPBX,40.7432,-75.2242,24
94,1654599250,2393098834,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729,57
95,1632556726,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665,395766,CloudPBX,40.7432,-75.2242,87
96,1745809577,1654599251,7018,"AT&T Services, Inc.",39.8686,-86.1003,395766,CloudPBX,40.7432,-75.2242,265
97,2393249330,1654599251,855,Bell Canada,47.5124,-52.6729,395766,CloudPBX,40.7432,-75.2242,160
98,1654599251,2393098834,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5124,-52.6729,44
99,1654599250,2394021867,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,45.0691,-64.4696,121
100,1676918269,1654599250,812,Rogers Communications Canada Inc.,43.0443,-81.2391,395766,CloudPBX,40.7432,-75.2242,12
101,1255890618,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665,395766,CloudPBX,40.7432,-75.2242,27
102,1745809577,1654599250,7018,"AT&T Services, Inc.",39.8686,-86.1003,395766,CloudPBX,40.7432,-75.2242,227
103,1654599251,3638379076,395766,CloudPBX,40.7432,-75.2242,7992,Cogeco Cable,42.9888,-82.3592,99
104,1179661323,1654599250,5769,Videotron Telecom Ltee,45.5354,-73.6061,395766,CloudPBX,40.7432,-75.2242,19
105,1654599250,1818172010,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",42.5038,-83.4764,52
106,855187221,1654599250,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199,395766,CloudPBX,40.7432,-75.2242,309
107,1654599250,1611994918,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,46.8287,-71.334,154
108,1654599251,3480447026,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.4805,-73.5554,25
