,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
35,3514831954,1654599250,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242,True,187,5.86333438740713e-05,44.973262032085564
36,2394021867,1654599251,855,Bell Canada,45.0691,-64.4696,395766,CloudPBX,40.7432,-75.2242,True,366,0.0007233335110427746,44.76775956284153
37,3514831954,1654599251,855,Bell Canada,47.5167,-52.7833,395766,CloudPBX,40.7432,-75.2242,True,177,5.684020459742173e-05,45.0
38,3626900266,1654599250,11478,Openface Inc.,45.47,-73.6686,395766,CloudPBX,40.7432,-75.2242,True,762,6.12413017285276e-05,44.94356955380577
39,1654599250,3626900266,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.47,-73.6686,False,262,0.0016502027857532417,44.80916030534351
40,2392989210,1654599250,855,Bell Canada,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,True,19,0.009018790886509725,44.473684210526315
41,1654599250,2904576785,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,47.5986,-52.6926,False,58,0.0013350419964920771,44.86206896551724
42,1654599250,2393257380,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595,False,42,0.0,45.0
43,2914253051,1654599250,5769,Videotron Telecom Ltee,45.5528,-73.6411,395766,CloudPBX,40.7432,-75.2242,True,1095,0.0005600204956002426,44.88401826484018
44,2393314965,1654599251,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,True,76,1.434102968593145e-07,45.0
45,1096686281,1654599250,577,Bell Canada,46.7749,-71.3344,395766,CloudPBX,40.7432,-75.2242,True,142,1.7452883605514866e-05,45.0
46,2393257407,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,True,27,0.0,44.96296296296296
