,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
39,755172978,3227975507,40788,Start Communications,43.4881,-79.7098,393755,CloudPBX,43.6319,-79.3716,True,89,2.9748044061223353e-05,44.87640449438202
40,3349638557,3227975507,22652,Fibrenoire Inc.,43.6564,-79.38600000000001,393755,CloudPBX,43.6319,-79.3716,True,97,0.004368779726718957,44.06185567010309
41,3227975506,755177515,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0233,-81.1643,False,244,0.0028313897779028148,44.122950819672134
42,755177515,3227975506,40788,Start Communications,43.0233,-81.1643,393755,CloudPBX,43.6319,-79.3716,True,83,0.009058923440229655,44.566265060240966
43,1217118531,3227975506,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,393755,CloudPBX,43.6319,-79.3716,True,18,0.00022689540675152186,45.0
44,2486945690,3227975507,16696,iTel Networks Inc,44.25,-80.55,393755,CloudPBX,43.6319,-79.3716,True,341,0.003734428892860664,44.58651026392962
45,3227975506,1176754522,393755,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,44.25,-80.55,False,494,0.005364117990075475,44.5
46,1676738700,3227975507,812,Rogers Communications Canada Inc.,44.5168,-80.0164,393755,CloudPBX,43.6319,-79.3716,True,259,0.003519174092341301,44.94980694980695
47,3227975506,2393249330,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5124,-52.6729,False,929,4.958643015332941e-05,44.9956942949408
48,2479012700,3227975506,15128,Comwave Telecom Inc.,44.0168,-78.3995,393755,CloudPBX,43.6319,-79.3716,True,2372,0.00018205872254646436,44.96795952782462
49,3227975507,2393249330,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5124,-52.6729,False,1045,0.00015131269258787127,44.98468899521531
50,3227975507,2393257259,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5334,-52.7595,False,309,0.00017964428452071283,44.97734627831715
51,2393249330,3227975507,855,Bell Canada,47.5124,-52.6729,393755,CloudPBX,43.6319,-79.3716,True,551,0.002931621935818887,44.972776769509984
52,3227975506,755177258,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9856,-81.1821,False,176,0.0048370716292319635,42.27272727272727
53,755175897,3227975506,40788,Start Communications,43.4032,-79.7186,393755,CloudPBX,43.6319,-79.3716,True,52,1.9392372333548802e-05,44.98076923076923
54,3227975506,1676626115,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0123,-81.2307,False,116,0.005422142982048647,43.991379310344826
55,3227975507,755177258,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9856,-81.1821,False,162,0.006136180351797414,42.74074074074074
56,3227975507,417208698,393755,CloudPBX,43.6319,-79.3716,11260,EastLink,45.2,-64.1167,False,1510,0.00024169770271479933,44.73112582781457
57,1210478362,3227975507,7992,Cogeco Cable,42.2767,-83.0793,393755,CloudPBX,43.6319,-79.3716,True,6700,0.008039207269381928,44.672238805970146
58,1676738700,3227975506,812,Rogers Communications Canada Inc.,44.5168,-80.0164,393755,CloudPBX,43.6319,-79.3716,True,238,0.0011553102923377795,44.903361344537814
59,3227975507,1210478362,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.2767,-83.0793,False,3927,0.004464157949331481,44.683728036669216
60,1761238241,3227975506,15128,Comwave Telecom Inc.,43.0233,-81.1643,393755,CloudPBX,43.6319,-79.3716,True,62,0.1353274195847709,40.82258064516129
61,1210478362,3227975506,7992,Cogeco Cable,42.2767,-83.0793,393755,CloudPBX,43.6319,-79.3716,True,6965,0.008329633195493073,44.64766690595836
62,3227975506,1210478362,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.2767,-83.0793,False,4135,0.0043215886223094075,44.659733978234584
63,412233259,3227975507,7992,Cogeco Cable,44.9001,-76.2494,393755,CloudPBX,43.6319,-79.3716,True,216,0.0002129339312068028,44.99074074074074
64,3227975507,3638379600,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9888,-82.3592,False,1132,0.00010980533057966006,44.98939929328622
