,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
30931,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.3167,-122.7384
31179,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.3615,-123.2627
31537,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2833,-123.1298
31547,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2068,-122.4851
31722,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2788,-123.1139
31763,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0374,-122.8299
31774,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,48.4267,-123.3655
31998,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.316,-123.0576
32399,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0331,-123.0877
32818,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,53.5185,-113.6579
33197,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.55,-113.5
33211,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.262,-123.0923
33682,395152,CloudPBX,43.6319,-79.3716,5645,"TekSavvy Solutions, Inc.",43.6784,-79.2941
34569,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1889,-122.873
35213,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.316,-123.0576
35306,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2795,-123.0667
35555,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2646,-123.1648
36937,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,52.3834,-113.7853
37232,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,48.4167,-123.365
39380,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2603,-123.146
39643,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.262,-123.0923
40394,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.141,-122.8569
40575,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1661,-122.5792
41105,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2275,-122.9301
41944,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.3597,-123.0377
42220,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2795,-123.0667
45953,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,50.1208,-122.9544
46063,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2436,-122.7865
46603,395152,CloudPBX,43.6319,-79.3716,25668,Cipherkey Exchange Corp.,49.1836,-123.1168
48453,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.3222,-123.0834
49873,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,50.0163,-124.3226
