,ID,calldate,callend,duration,connect_duration,progress_time,first_rtp_time,caller,caller_domain,caller_reverse,callername,callername_reverse,called,called_domain,called_reverse,sipcallerip,sipcallerport,sipcalledip,sipcalledport,whohanged,bye,lastSIPresponse_id,lastSIPresponseNum,sighup,dscp,a_index,b_index,a_payload,b_payload,a_saddr,b_saddr,a_received,b_received,a_lost,b_lost,a_ua_id,b_ua_id,a_avgjitter_mult10,b_avgjitter_mult10,a_maxjitter,b_maxjitter,a_sl1,a_sl2,a_sl3,a_sl4,a_sl5,a_sl6,a_sl7,a_sl8,a_sl9,a_sl10,a_d50,a_d70,a_d90,a_d120,a_d150,a_d200,a_d300,b_sl1,b_sl2,b_sl3,b_sl4,b_sl5,b_sl6,b_sl7,b_sl8,b_sl9,b_sl10,b_d50,b_d70,b_d90,b_d120,b_d150,b_d200,b_d300,a_mos_lqo_mult10,b_mos_lqo_mult10,a_mos_f1_mult10,a_mos_f2_mult10,a_mos_adapt_mult10,b_mos_f1_mult10,b_mos_f2_mult10,b_mos_adapt_mult10,a_rtcp_loss,a_rtcp_maxfr,a_rtcp_avgfr_mult10,a_rtcp_maxjitter,a_rtcp_avgjitter_mult10,b_rtcp_loss,b_rtcp_maxfr,b_rtcp_avgfr_mult10,b_rtcp_maxjitter,b_rtcp_avgjitter_mult10,a_last_rtp_from_end,b_last_rtp_from_end,payload,jitter_mult10,mos_min_mult10,a_mos_min_mult10,b_mos_min_mult10,packet_loss_perc_mult1000,a_packet_loss_perc_mult1000,b_packet_loss_perc_mult1000,delay_sum,a_delay_sum,b_delay_sum,delay_avg_mult100,a_delay_avg_mult100,b_delay_avg_mult100,delay_cnt,a_delay_cnt,b_delay_cnt,rtcp_avgfr_mult10,rtcp_avgjitter_mult10,lost,id_sensor,price_operator_mult100,price_operator_currency_id,price_customer_mult100,price_customer_currency_id,reason_sip_cause,reason_sip_text_id,reason_q850_cause,reason_q850_text_id,caller_silence,called_silence,caller_silence_end,called_silence_end,a_mos_xr_min_mult10,b_mos_xr_min_mult10,a_mos_xr_mult10,b_mos_xr_mult10,response_time_100,response_time_xxx,a_mos_f1_min_mult10,a_mos_f2_min_mult10,a_mos_adapt_min_mult10,b_mos_f1_min_mult10,b_mos_f2_min_mult10,b_mos_adapt_min_mult10,a_rtp_ptime,b_rtp_ptime,flags,qf,Qualfun
0,76108556,2018-05-01 12:19:22,2018-05-01 12:20:15,53,29.0,3.0,3.0,user_z,sanitized,z_resu,sanitized,sanitized,416346,sanitized,643614,1168513348,1029,3227975506,11000,caller,3,1,200,0,33685504,1.0,2.0,0.0,0.0,1168513348.0,3227975506.0,1659.0,1647.0,0.0,0.0,5.0,2.0,26.0,100.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,65535.0,3.0,3.0,12.0,102.0,0.0,0.0,0.0,100.0,45.0,45.0,45.0,0.0,0.0,0.0,180.0,180.0,0.0,6000.0,6000.0,0.0,3.0,3.0,0.0,3.0,102.0,0.0,801,,,,,,,,,,,,,,,,,2.0,4.0,45.0,45.0,45.0,45.0,45.0,45.0,30.0,30.0,,1.6981132075471699,1.6981132075471699
1,76108561,2018-05-01 12:19:22,2018-05-01 12:20:15,53,29.0,3.0,3.0,user_z,sanitized,z_resu,sanitized,sanitized,416346,sanitized,643614,1168513348,1029,3227975504,7000,caller,3,1,200,0,131072,1.0,2.0,0.0,0.0,1168513348.0,3227975506.0,1658.0,1647.0,0.0,0.0,5.0,2.0,26.0,99.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,65535.0,3.0,3.0,12.0,102.0,0.0,0.0,0.0,99.0,45.0,45.0,45.0,0.0,0.0,0.0,180.0,180.0,0.0,6000.0,6000.0,0.0,3.0,3.0,0.0,3.0,102.0,0.0,802,,,,,,,,,,,,,,,,,2.0,5.0,45.0,45.0,45.0,45.0,45.0,45.0,30.0,30.0,,1.6981132075471699,1.6981132075471699
6,76106144,2018-05-01 11:49:13,2018-05-01 11:50:55,102,84.0,9.0,9.0,user_z,sanitized,z_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1946,3227975507,11000,caller,3,1,200,0,33685504,1.0,0.0,0.0,0.0,3349638548.0,3227975507.0,4634.0,4636.0,0.0,2.0,3731.0,2.0,16.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,16.0,45.0,45.0,45.0,43.0,0.0,43.0,240.0,240.0,0.0,12000.0,12000.0,0.0,2.0,2.0,0.0,,,2.0,801,,,,,,,,,,,,,,,,,2.0,5.0,45.0,45.0,41.0,45.0,45.0,45.0,20.0,20.0,,1.3173156586578294,1.3173156586578294
7,76106152,2018-05-01 11:49:13,2018-05-01 11:50:55,102,84.0,9.0,9.0,user_z,sanitized,z_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1946,3227975505,7000,caller,3,1,200,0,131072,1.0,0.0,0.0,0.0,3349638548.0,3227975507.0,4633.0,4637.0,0.0,0.0,3731.0,2.0,16.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,16.0,45.0,45.0,45.0,0.0,0.0,0.0,240.0,240.0,0.0,12000.0,12000.0,0.0,2.0,2.0,0.0,,,0.0,802,,,,,,,,,,,,,,,,,2.0,6.0,45.0,45.0,41.0,45.0,45.0,45.0,20.0,20.0,,1.1764705882352942,1.1764705882352942
20,76106558,2018-05-01 11:55:58,2018-05-01 11:56:34,36,24.0,4.0,4.0,user_t,sanitized,t_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1945,3227975507,11000,caller,3,1,200,0,33685504,1.0,0.0,0.0,0.0,3349638548.0,3227975507.0,1576.0,1580.0,1.0,0.0,3731.0,2.0,11.0,24.0,5.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,45.0,45.0,45.0,45.0,45.0,44.0,,,,,,,,,,,1.0,0.0,0.0,24.0,45.0,45.0,45.0,63.0,63.0,0.0,300.0,0.0,300.0,30000.0,0.0,30000.0,1.0,0.0,1.0,,,1.0,801,,,,,,,,,,,,,,,,,2.0,5.0,45.0,45.0,45.0,45.0,45.0,41.0,20.0,20.0,,4.345238095238096,4.345238095238096
21,76106565,2018-05-01 11:55:58,2018-05-01 11:56:34,36,24.0,4.0,4.0,user_t,sanitized,t_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1945,3227975505,7000,caller,3,1,200,0,131072,1.0,0.0,0.0,0.0,3349638548.0,3227975507.0,1576.0,1580.0,0.0,0.0,3731.0,2.0,11.0,24.0,5.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,45.0,45.0,45.0,45.0,45.0,44.0,,,,,,,,,,,1.0,0.0,0.0,24.0,45.0,45.0,45.0,0.0,0.0,0.0,300.0,0.0,300.0,30000.0,0.0,30000.0,1.0,0.0,1.0,,,0.0,802,,,,,,,,,,,,,,,,,2.0,6.0,45.0,45.0,45.0,45.0,45.0,41.0,20.0,20.0,,4.166666666666667,4.166666666666667
161,76101088,2018-05-01 00:19:02,2018-05-01 00:20:51,109,105.0,1.0,2.0,anonym,sanitized,mynona,sanitized,sanitized,178046,sanitized,640871,3495526702,5060,3227975250,11000,caller,3,1,200,0,33691648,1.0,0.0,0.0,0.0,3495526934.0,3227975250.0,5335.0,5303.0,1.0,0.0,,2.0,1.0,4.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,45.0,45.0,45.0,44.0,45.0,44.0,,,,,,0.0,0.0,0.0,7142.0,3249.0,0.0,0.0,0.0,4.0,45.0,45.0,45.0,19.0,19.0,0.0,310.0,0.0,310.0,15500.0,0.0,15500.0,2.0,0.0,2.0,0.0,3249.0,1.0,501,,255.0,,255.0,,,,,,,,,,,,,1.0,496.0,45.0,45.0,45.0,42.0,42.0,39.0,20.0,20.0,,1.4995377284688143,1.4995377284688143
