,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long
1979,3638379076,1654599251,7992,Cogeco Cable,216.221.66.68,42.9888,-82.3592,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
2023,1676535575,1654599250,812,Rogers Communications Canada Inc.,99.237.231.23,47.5986,-52.6926,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
2034,2393257259,1654599250,855,Bell Canada,142.166.53.43,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
2076,2393257259,1654599251,855,Bell Canada,142.166.53.43,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
2080,2393277605,1654599251,855,Bell Canada,142.166.132.165,45.2308,-66.0953,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
2105,2393990862,1654599250,855,Bell Canada,142.177.102.206,47.5124,-52.6729,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
2106,1654599250,2393990862,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.177.102.206,47.5124,-52.6729
2120,3514832870,1654599250,855,Bell Canada,209.128.23.230,47.5167,-52.7833,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
2134,1654599250,1599332522,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,13280,Three Ireland (Hutchison) limited,95.83.224.170,53.3331,-6.2489
2199,2393314675,1654599250,855,Bell Canada,142.167.21.115,47.5194,-52.8122,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
2231,2904576785,1654599251,812,Rogers Communications Canada Inc.,173.32.83.17,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
2319,1654599250,1676539840,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.237.247.192,47.6333,-52.85
2399,1654599251,3507478250,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,13768,Cogeco Peer 1,209.15.222.234,43.6021,-79.5402
2429,1654599250,417208700,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,11260,EastLink,24.222.25.124,45.2,-64.1167
2431,1654599250,3507478250,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,13768,Cogeco Peer 1,209.15.222.234,43.6021,-79.5402
2479,1654599250,1676840295,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.242.141.103,48.9682,-54.5906
2562,1676539840,1654599251,812,Rogers Communications Canada Inc.,99.237.247.192,47.6333,-52.85,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
2563,1654599251,1676539840,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.237.247.192,47.6333,-52.85
2642,3514831954,1654599250,855,Bell Canada,209.128.20.82,47.5167,-52.7833,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
2707,2394021867,1654599251,855,Bell Canada,142.177.223.235,45.0691,-64.4696,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
2773,3514831954,1654599251,855,Bell Canada,209.128.20.82,47.5167,-52.7833,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
2833,3626900266,1654599250,11478,Openface Inc.,216.46.27.42,45.47,-73.6686,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
2838,1654599250,3626900266,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,11478,Openface Inc.,216.46.27.42,45.47,-73.6686
2897,2392989210,1654599250,855,Bell Canada,142.162.30.26,47.5986,-52.6926,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
3070,1654599250,2904576785,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,812,Rogers Communications Canada Inc.,173.32.83.17,47.5986,-52.6926
3172,1654599250,2393257380,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.166.53.164,47.5334,-52.7595
3293,2914253051,1654599250,5769,Videotron Telecom Ltee,173.179.248.251,45.5528,-73.6411,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
3409,2393314965,1654599251,855,Bell Canada,142.167.22.149,47.5194,-52.8122,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
3641,1096686281,1654599250,577,Bell Canada,65.94.26.201,46.7749,-71.3344,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
3667,2393257407,1654599250,855,Bell Canada,142.166.53.191,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
3775,1654599250,2393257259,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.166.53.43,47.5334,-52.7595
3850,2393314675,1654599251,855,Bell Canada,142.167.21.115,47.5194,-52.8122,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
3982,2393314975,1654599251,855,Bell Canada,142.167.22.159,47.5194,-52.8122,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
4066,2393257407,1654599251,855,Bell Canada,142.166.53.191,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
4159,2914253051,1654599251,5769,Videotron Telecom Ltee,173.179.248.251,45.5528,-73.6411,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
4160,1654599251,2914253051,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,5769,Videotron Telecom Ltee,173.179.248.251,45.5528,-73.6411
4177,1611994918,1654599250,5769,Videotron Telecom Ltee,96.21.23.38,46.8287,-71.334,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
4392,2393314975,1654599250,855,Bell Canada,142.167.22.159,47.5194,-52.8122,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
4463,1654599250,2914253051,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,5769,Videotron Telecom Ltee,173.179.248.251,45.5528,-73.6411
4566,2393249330,1654599250,855,Bell Canada,142.166.22.50,47.5124,-52.6729,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
4626,1654599250,2393249330,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.166.22.50,47.5124,-52.6729
4666,3638379610,1654599250,7992,Cogeco Cable,216.221.68.90,42.9888,-82.3592,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
4752,1654599251,2393249330,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.166.22.50,47.5124,-52.6729
4833,1096686281,1654599251,577,Bell Canada,65.94.26.201,46.7749,-71.3344,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
4848,1676840295,1654599251,812,Rogers Communications Canada Inc.,99.242.141.103,48.9682,-54.5906,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
4851,1654599251,2394021867,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.177.223.235,45.0691,-64.4696
4890,2393257342,1654599250,855,Bell Canada,142.166.53.126,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
