,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
16980,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",37.751,-97.822
17554,7922,"Comcast Cable Communications, LLC",42.2639,-88.8443,395766,CloudPBX,40.7432,-75.2242
18736,7922,"Comcast Cable Communications, LLC",41.7195,-86.2064,395766,CloudPBX,40.7432,-75.2242
19126,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",39.8512,-86.2651
19712,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832,395766,CloudPBX,40.7432,-75.2242
19760,812,Rogers Communications Canada Inc.,43.6572,-79.3783,395766,CloudPBX,40.7432,-75.2242
21039,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,43.8582,-79.3985
23805,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368
24332,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,49.2788,-123.1139
24489,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832
25072,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783
25201,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,43.6572,-79.3783
25677,5769,Videotron Telecom Ltee,45.504,-73.5747,395766,CloudPBX,40.7432,-75.2242
27845,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,45.5394,-73.6513
32658,7018,"AT&T Services, Inc.",39.8401,-86.0548,395766,CloudPBX,40.7432,-75.2242
35662,40191,ZEROFAIL,45.4987,-73.5793,395766,CloudPBX,40.7432,-75.2242
42418,7992,Cogeco Cable,43.6319,-79.3716,395766,CloudPBX,40.7432,-75.2242
43609,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199
62959,7992,Cogeco Cable,42.3167,-82.9,395766,CloudPBX,40.7432,-75.2242
67650,7018,"AT&T Services, Inc.",41.7403,-87.654,395766,CloudPBX,40.7432,-75.2242
74190,812,Rogers Communications Canada Inc.,43.8177,-79.2819,395766,CloudPBX,40.7432,-75.2242
76979,855,Bell Canada,47.483,-52.8415,395766,CloudPBX,40.7432,-75.2242
84679,7922,"Comcast Cable Communications, LLC",39.2575,-76.4951,395766,CloudPBX,40.7432,-75.2242
88289,7992,Cogeco Cable,42.9578,-82.2777,395766,CloudPBX,40.7432,-75.2242
89496,7992,Cogeco Cable,42.8833,-82.15,395766,CloudPBX,40.7432,-75.2242
93018,10103,HK Broadband Network Ltd.,22.2833,114.15,395766,CloudPBX,40.7432,-75.2242
94680,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",39.8401,-86.0548
109974,395766,CloudPBX,40.7432,-75.2242,5769,Videotron Telecom Ltee,45.5055,-73.8789
111819,6327,Shaw Communications Inc.,49.2779,-123.0908,395766,CloudPBX,40.7432,-75.2242
113403,5769,Videotron Telecom Ltee,45.5055,-73.8789,395766,CloudPBX,40.7432,-75.2242
129730,6327,Shaw Communications Inc.,49.2196,-122.6164,395766,CloudPBX,40.7432,-75.2242
135737,812,Rogers Communications Canada Inc.,43.6192,-79.6538,395766,CloudPBX,40.7432,-75.2242
147149,18809,Cable Onda,8.9936,-79.5197,395766,CloudPBX,40.7432,-75.2242
149894,395766,CloudPBX,40.7432,-75.2242,6079,RCN,42.0382,-87.7285
158726,33363,"BRIGHT HOUSE NETWORKS, LLC",39.9738,-86.1765,395766,CloudPBX,40.7432,-75.2242
160015,395766,CloudPBX,40.7432,-75.2242,40788,Start Communications,42.9888,-82.3592
160974,6327,Shaw Communications Inc.,49.2275,-122.9301,395766,CloudPBX,40.7432,-75.2242
163329,395766,CloudPBX,40.7432,-75.2242,7992,Cogeco Cable,42.9578,-82.2777
164883,5769,Videotron Telecom Ltee,47.8304,-69.5342,395766,CloudPBX,40.7432,-75.2242
164921,7018,"AT&T Services, Inc.",41.8802,-87.7566,395766,CloudPBX,40.7432,-75.2242
195503,5769,Videotron Telecom Ltee,45.45,-73.75,395766,CloudPBX,40.7432,-75.2242
209229,395766,CloudPBX,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",39.895,-86.1804
238537,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",39.2575,-76.4951
242488,395766,CloudPBX,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665
249257,7922,"Comcast Cable Communications, LLC",26.1489,-80.1257,395766,CloudPBX,40.7432,-75.2242
267792,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",39.9738,-86.1765
279344,395766,CloudPBX,40.7432,-75.2242,40191,ZEROFAIL,45.4987,-73.5793
280714,812,Rogers Communications Canada Inc.,44.5168,-80.0164,395766,CloudPBX,40.7432,-75.2242
280715,395766,CloudPBX,40.7432,-75.2242,15128,Comwave Telecom Inc.,43.0233,-81.1643
288701,35911,Telebec,48.1002,-77.7828,395766,CloudPBX,40.7432,-75.2242
314443,40029,Novus Entertainment Inc.,49.2788,-123.1139,395766,CloudPBX,40.7432,-75.2242
314450,852,TELUS Communications Inc.,49.2666,-123.1976,395766,CloudPBX,40.7432,-75.2242
335834,7992,Cogeco Cable,42.2767,-83.0793,395766,CloudPBX,40.7432,-75.2242
336149,577,Bell Canada,43.9251,-78.8287,395766,CloudPBX,40.7432,-75.2242
340019,852,TELUS Communications Inc.,49.0331,-123.0877,395766,CloudPBX,40.7432,-75.2242
357565,395766,CloudPBX,40.7432,-75.2242,20453,Rogers Communications Canada Inc.,43.6404,-79.3995
375376,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",39.8227,-86.145
375473,395766,CloudPBX,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264
392376,395766,CloudPBX,40.7432,-75.2242,6171,WorldGate,53.55,-113.5
430490,40788,Start Communications,43.623,-79.3936,395766,CloudPBX,40.7432,-75.2242
447810,852,TELUS Communications Inc.,43.6655,-79.4204,395766,CloudPBX,40.7432,-75.2242
468913,812,Rogers Communications Canada Inc.,43.6656,-79.383,395766,CloudPBX,40.7432,-75.2242
483270,36522,BELL MOBILITY INC.,43.4389,-80.2649,395766,CloudPBX,40.7432,-75.2242
483799,33363,"BRIGHT HOUSE NETWORKS, LLC",40.0698,-85.9817,395766,CloudPBX,40.7432,-75.2242
492995,577,Bell Canada,43.8769,-79.2686,395766,CloudPBX,40.7432,-75.2242
534719,395766,CloudPBX,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",40.0698,-85.9817
567436,1403,EBOX,43.6564,-79.386,395766,CloudPBX,40.7432,-75.2242
594718,36077,Dynamic ASP Inc.,44.6533,-63.6675,395766,CloudPBX,40.7432,-75.2242
710394,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.0791,-122.7553
711556,57169,EDIS GmbH,48.2,16.3667,395766,CloudPBX,40.7432,-75.2242
712157,7922,"Comcast Cable Communications, LLC",34.1036,-84.6374,395766,CloudPBX,40.7432,-75.2242
726264,7992,Cogeco Cable,42.95,-82.1167,395766,CloudPBX,40.7432,-75.2242
753172,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5986,-52.6926
758428,7992,Cogeco Cable,44.1665,-77.4037,395766,CloudPBX,40.7432,-75.2242
760037,40788,Start Communications,42.9976,-81.2563,395766,CloudPBX,40.7432,-75.2242
760892,15128,Comwave Telecom Inc.,44.0168,-78.3995,395766,CloudPBX,40.7432,-75.2242
761529,40788,Start Communications,43.6572,-79.3783,395766,CloudPBX,40.7432,-75.2242
763887,812,Rogers Communications Canada Inc.,42.7597,-81.1762,395766,CloudPBX,40.7432,-75.2242
763888,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,42.7597,-81.1762
