,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,b_saddr_asn,b_saddr_asorg
64635618,2018-01-03,1654599250,387781962,395766,CloudPBX,6983,"Earthlink, Inc."
65998948,2018-01-22,3227975250,387781962,395152,CloudPBX,6983,"Earthlink, Inc."
66012993,2018-01-22,3227975251,387781962,395152,CloudPBX,6983,"Earthlink, Inc."
64496813,2018-01-01,3227975506,387781963,393755,CloudPBX,6983,"Earthlink, Inc."
64508999,2018-01-02,3227975507,387781963,393755,CloudPBX,6983,"Earthlink, Inc."
64668585,2018-01-03,1654599250,387781963,395766,CloudPBX,6983,"Earthlink, Inc."
65283258,2018-01-11,1654599251,387781963,395766,CloudPBX,6983,"Earthlink, Inc."
66128312,2018-01-23,3227975250,387781963,395152,CloudPBX,6983,"Earthlink, Inc."
66298214,2018-01-25,3227975251,387781963,395152,CloudPBX,6983,"Earthlink, Inc."
64492653,2018-01-01,3227975507,387781978,393755,CloudPBX,6983,"Earthlink, Inc."
64496686,2018-01-01,3227975506,387781978,393755,CloudPBX,6983,"Earthlink, Inc."
64586724,2018-01-02,1654599250,387781978,395766,CloudPBX,6983,"Earthlink, Inc."
64967048,2018-01-08,1654599251,387781978,395766,CloudPBX,6983,"Earthlink, Inc."
66107502,2018-01-23,3227975251,387781978,395152,CloudPBX,6983,"Earthlink, Inc."
66400220,2018-01-26,3227975250,387781978,395152,CloudPBX,6983,"Earthlink, Inc."
64501734,2018-01-02,3227975506,387781979,393755,CloudPBX,6983,"Earthlink, Inc."
64513687,2018-01-02,3227975507,387781979,393755,CloudPBX,6983,"Earthlink, Inc."
64737648,2018-01-04,1654599250,387781979,395766,CloudPBX,6983,"Earthlink, Inc."
64739187,2018-01-04,1654599251,387781979,395766,CloudPBX,6983,"Earthlink, Inc."
66137929,2018-01-23,3227975250,387781979,395152,CloudPBX,6983,"Earthlink, Inc."
66401118,2018-01-26,3227975251,387781979,395152,CloudPBX,6983,"Earthlink, Inc."
70570707,2018-03-08,3227975251,391880440,395152,CloudPBX,5645,"TekSavvy Solutions, Inc."
70583560,2018-03-08,3227975250,391880440,395152,CloudPBX,5645,"TekSavvy Solutions, Inc."
74872573,2018-04-18,1654599251,391910244,395766,CloudPBX,63949,"Linode, LLC"
75404747,2018-04-24,3227975507,391910244,393755,CloudPBX,63949,"Linode, LLC"
68745125,2018-02-20,3227975506,391940137,393755,CloudPBX,40788,Start Communications
74537765,2018-04-14,3227975507,397803714,393755,CloudPBX,395043,Ascent Energy Services Inc.
69248365,2018-02-24,3227975507,401151516,393755,CloudPBX,5645,"TekSavvy Solutions, Inc."
70391635,2018-03-07,3227975506,401151516,393755,CloudPBX,5645,"TekSavvy Solutions, Inc."
74490921,2018-04-13,3227975250,404020096,395152,CloudPBX,7922,"Comcast Cable Communications, LLC"
64726722,2018-01-04,3227975506,405133426,393755,CloudPBX,5769,Videotron Telecom Ltee
64736304,2018-01-04,1654599250,405133426,395766,CloudPBX,5769,Videotron Telecom Ltee
64929524,2018-01-08,3227975507,405133426,393755,CloudPBX,5769,Videotron Telecom Ltee
65045677,2018-01-09,1654599251,405133426,395766,CloudPBX,5769,Videotron Telecom Ltee
66137272,2018-01-23,3227975250,405133426,395152,CloudPBX,5769,Videotron Telecom Ltee
78148276,2018-05-23,3227975251,405133426,395152,CloudPBX,5769,Videotron Telecom Ltee
68063251,2018-02-13,3227975507,405971071,393755,CloudPBX,40788,Start Communications
68063268,2018-02-13,3227975506,405971071,393755,CloudPBX,40788,Start Communications
70259156,2018-03-06,3227975507,405971412,393755,CloudPBX,40788,Start Communications
70550168,2018-03-08,3227975506,405971412,393755,CloudPBX,40788,Start Communications
73442729,2018-04-04,3227975507,405971428,393755,CloudPBX,40788,Start Communications
73474183,2018-04-04,3227975506,405971428,393755,CloudPBX,40788,Start Communications
76387735,2018-05-03,3227975507,405971488,393755,CloudPBX,40788,Start Communications
76390600,2018-05-03,3227975506,405971488,393755,CloudPBX,40788,Start Communications
75116932,2018-04-20,3227975506,405971506,393755,CloudPBX,40788,Start Communications
74981159,2018-04-19,3227975506,405971611,393755,CloudPBX,40788,Start Communications
75029682,2018-04-19,3227975507,405971611,393755,CloudPBX,40788,Start Communications
76038584,2018-04-30,3227975506,405971680,393755,CloudPBX,40788,Start Communications
76070383,2018-04-30,3227975507,405971680,393755,CloudPBX,40788,Start Communications
76628746,2018-05-04,3227975506,405971743,393755,CloudPBX,40788,Start Communications
76628827,2018-05-04,3227975507,405971743,393755,CloudPBX,40788,Start Communications
76774882,2018-05-07,3227975506,405971847,393755,CloudPBX,40788,Start Communications
76801455,2018-05-07,3227975507,405971847,393755,CloudPBX,40788,Start Communications
70458483,2018-03-07,3227975506,405971874,393755,CloudPBX,40788,Start Communications
70506168,2018-03-08,3227975507,405971874,393755,CloudPBX,40788,Start Communications
64510190,2018-01-02,3227975507,405971887,393755,CloudPBX,40788,Start Communications
64514352,2018-01-02,3227975506,405971887,393755,CloudPBX,40788,Start Communications
75965848,2018-04-30,3227975507,405972036,393755,CloudPBX,40788,Start Communications
75986074,2018-04-30,3227975506,405972036,393755,CloudPBX,40788,Start Communications
71658491,2018-03-17,3227975506,405972123,393755,CloudPBX,40788,Start Communications
75832075,2018-04-27,3227975506,405972383,393755,CloudPBX,40788,Start Communications
74967876,2018-04-19,3227975507,405972393,393755,CloudPBX,40788,Start Communications
74974148,2018-04-19,3227975506,405972393,393755,CloudPBX,40788,Start Communications
77452167,2018-05-13,3227975506,405972557,393755,CloudPBX,40788,Start Communications
77497626,2018-05-14,3227975507,405972557,393755,CloudPBX,40788,Start Communications
78116338,2018-05-23,1654599250,405972557,395766,CloudPBX,40788,Start Communications
78124251,2018-05-23,1654599251,405972557,395766,CloudPBX,40788,Start Communications
78200545,2018-05-23,3227975250,405972557,395152,CloudPBX,40788,Start Communications
75002083,2018-04-19,3227975507,405972604,393755,CloudPBX,40788,Start Communications
75006713,2018-04-19,3227975506,405972604,393755,CloudPBX,40788,Start Communications
78128754,2018-05-23,3227975250,405972604,395152,CloudPBX,40788,Start Communications
78143008,2018-05-23,1654599251,405972604,395766,CloudPBX,40788,Start Communications
75549313,2018-04-25,3227975506,405972613,393755,CloudPBX,40788,Start Communications
76252639,2018-05-02,3227975507,405972613,393755,CloudPBX,40788,Start Communications
78437674,2018-05-28,3227975506,405972835,393755,CloudPBX,40788,Start Communications
78448003,2018-05-28,3227975507,405972835,393755,CloudPBX,40788,Start Communications
64489832,2018-01-01,3227975507,405972958,393755,CloudPBX,40788,Start Communications
64489868,2018-01-01,3227975506,405972958,393755,CloudPBX,40788,Start Communications
74962691,2018-04-19,3227975507,405973258,393755,CloudPBX,40788,Start Communications
75002780,2018-04-19,3227975506,405973258,393755,CloudPBX,40788,Start Communications
75529726,2018-04-24,1654599250,405973258,395766,CloudPBX,40788,Start Communications
67905716,2018-02-12,3227975506,405973273,393755,CloudPBX,40788,Start Communications
67907373,2018-02-12,3227975507,405973273,393755,CloudPBX,40788,Start Communications
75261552,2018-04-23,1654599250,405973273,395766,CloudPBX,40788,Start Communications
71407259,2018-03-15,3227975507,405973363,393755,CloudPBX,40788,Start Communications
71412182,2018-03-15,3227975506,405973363,393755,CloudPBX,40788,Start Communications
64556326,2018-01-02,3227975506,405973365,393755,CloudPBX,40788,Start Communications
64566723,2018-01-02,3227975251,405973365,395152,CloudPBX,40788,Start Communications
64676986,2018-01-03,3227975507,405973365,393755,CloudPBX,40788,Start Communications
64846857,2018-01-05,3227975250,405973365,395152,CloudPBX,40788,Start Communications
66120597,2018-01-23,1654599251,405973365,395766,CloudPBX,40788,Start Communications
73161374,2018-04-02,3227975507,405973449,393755,CloudPBX,40788,Start Communications
73162694,2018-04-02,3227975506,405973449,393755,CloudPBX,40788,Start Communications
73252112,2018-04-03,3227975251,405973449,395152,CloudPBX,40788,Start Communications
73685336,2018-04-06,3227975250,405973449,395152,CloudPBX,40788,Start Communications
78450684,2018-05-28,3227975507,405973572,393755,CloudPBX,40788,Start Communications
78473410,2018-05-28,3227975506,405973572,393755,CloudPBX,40788,Start Communications
74715689,2018-04-17,3227975507,405973577,393755,CloudPBX,40788,Start Communications
74723166,2018-04-17,3227975506,405973577,393755,CloudPBX,40788,Start Communications
65897129,2018-01-19,3227975506,405973597,393755,CloudPBX,40788,Start Communications
66009701,2018-01-22,3227975507,405973597,393755,CloudPBX,40788,Start Communications
71887543,2018-03-20,3227975506,405973628,393755,CloudPBX,40788,Start Communications
71950688,2018-03-20,3227975507,405973628,393755,CloudPBX,40788,Start Communications
72175509,2018-03-21,3227975250,405973628,395152,CloudPBX,40788,Start Communications
65045609,2018-01-09,3227975506,405973636,393755,CloudPBX,40788,Start Communications
65149905,2018-01-10,3227975507,405973636,393755,CloudPBX,40788,Start Communications
64613796,2018-01-03,3227975506,405973695,393755,CloudPBX,40788,Start Communications
64619522,2018-01-03,3227975507,405973695,393755,CloudPBX,40788,Start Communications
70132699,2018-03-05,3227975507,405973726,393755,CloudPBX,40788,Start Communications
70712291,2018-03-09,3227975506,405973726,393755,CloudPBX,40788,Start Communications
73071658,2018-03-31,3227975507,405973727,393755,CloudPBX,40788,Start Communications
73277904,2018-04-03,3227975506,405973727,393755,CloudPBX,40788,Start Communications
72063372,2018-03-21,3227975507,405973728,393755,CloudPBX,40788,Start Communications
72475926,2018-03-26,3227975506,405973728,393755,CloudPBX,40788,Start Communications
78723480,2018-05-31,3227975507,405973897,393755,CloudPBX,40788,Start Communications
71044260,2018-03-13,3227975506,405973956,393755,CloudPBX,40788,Start Communications
71070266,2018-03-13,3227975507,405973956,393755,CloudPBX,40788,Start Communications
78126591,2018-05-23,1654599251,405974021,395766,CloudPBX,40788,Start Communications
78128023,2018-05-23,3227975251,405974021,395152,CloudPBX,40788,Start Communications
78134025,2018-05-23,3227975250,405974021,395152,CloudPBX,40788,Start Communications
