0,76108556
1,76108561
6,76106144
7,76106152
20,76106558
21,76106565
161,76101088
192,76108794
233,76103704
243,76105762
283,76104258
296,76105041
334,76107381
355,76103821
372,76103835
376,76105885
382,76105889
383,76103842
397,76109231
427,76102598
438,76104911
444,76104662
649,76105906
654,76105910
770,76106312
771,76106318
772,76106319
797,76107324
798,76107326
816,76110402
825,76100960
827,76100962
904,76104195
959,76105588
960,76105589
961,76105590
962,76105591
985,76103993
986,76103994
987,76103995
988,76103996
1007,76104642
1008,76104643
1009,76104647
1010,76104648
1140,76109404
1161,76107475
1162,76107491
1414,76106876
1416,76106884
1467,76107938
1469,76107940
1795,76106160
1796,76106161
1797,76106162
1798,76106163
1831,76107636
1934,76109469
1935,76109475
2014,76108352
2015,76108359
2062,76100743
2063,76100744
2095,76108052
2098,76108057
2148,76109924
2150,76109930
2214,76110343
2215,76110345
2217,76105415
2250,76101690
2455,76108567
2457,76108572
2505,76102435
2509,76110354
2510,76110355
2511,76110359
2512,76110360
2514,76104796
2515,76104797
2516,76104800
2517,76104801
2518,76109411
2519,76109412
2520,76109419
2521,76109421
2522,76104862
2523,76104863
2524,76104864
2525,76104865
2531,76107448
2637,76109499
2643,76109533
2957,76105873
2959,76105879
3021,76105182
3022,76105183
3161,76101612
3162,76101613
3312,76109066
3327,76109116
3441,76104300
3443,76104302
3663,76108576
3665,76108578
3989,76107310
3990,76107321
4070,76104901
4071,76104903
4148,76107294
4259,76102439
4261,76102441
4265,76101797
4267,76101799
4269,76102356
4271,76102362
4282,76102573
4361,76105871
4407,76107536
4500,76104408
4552,76109160
4554,76109166
4590,76102568
4631,76105998
4634,76106004
4808,76103488
4810,76103490
4917,76105190
5077,76104602
5078,76104603
5079,76104607
5080,76104608
5340,76110386
5341,76110394
5375,76108297
5376,76108301
5395,76109272
5443,76108697
5444,76108700
5447,76105893
5499,76104706
5505,76104702
5871,76109795
5878,76109801
5897,76109764
5898,76109778
5914,76105487
5915,76105488
6194,76109932
6196,76109942
6228,76100776
6250,76108034
6253,76108036
6254,76108038
6257,76108045
6386,76105765
6474,76109500
6476,76109507
6483,76109428
6484,76109429
6485,76109438
6486,76109440
6494,76108296
6495,76108302
6621,76102468
6622,76102469
6708,76107793
6712,76107801
6723,76109452
6724,76109466
6752,76102462
6753,76102463
6758,76102476
6991,76110339
7018,76103705
7031,76105761
7167,76103830
7264,76110301
7416,76108166
7417,76108183
7447,76102360
7448,76102361
7466,76105127
7467,76105128
7468,76105133
7469,76105134
7477,76106433
7478,76106434
7493,76106505
7494,76107789
7497,76106516
7502,76107807
7644,76108617
7645,76107348
7650,76107354
7836,76109632
7839,76109657
7876,76102990
7884,76102995
8013,76101145
8112,76109800
8113,76109802
8226,76105702
8227,76105703
8230,76105708
8231,76105709
8242,76101201
8246,76103168
8251,76102233
8311,76106080
8312,76106083
8313,76106089
8314,76106090
8340,76109064
8341,76109113
8342,76109146
8343,76109164
8371,76107956
8387,76101002
8468,76100656
8532,76100505
8535,76100508
8560,76100472
8565,76106980
8566,76105969
8643,76107231
8649,76107236
8950,76106546
8953,76106549
8961,76102907
8962,76102910
8963,76104277
8964,76104279
8976,76103489
8977,76103491
9037,76103737
9041,76103739
9078,76102408
9080,76103188
9098,76103163
9128,76107331
9130,76107337
9277,76100812
9279,76100814
9351,76106786
9353,76106787
9361,76109017
9362,76109018
9363,76109021
9364,76109022
9495,76104912
9496,76104663
9589,76104500
9594,76104506
9679,76105693
9755,76108035
9756,76108041
9757,76108042
9759,76108140
9760,76108141
9761,76108147
9762,76108148
9765,76106931
9766,76106936
9767,76106938
9768,76107964
9769,76106943
9770,76107969
9771,76108486
9772,76107976
9773,76108488
9774,76107981
9775,76108494
9776,76108496
9781,76108026
9837,76104902
9838,76104904
9869,76110101
9871,76110107
9872,76105516
9873,76105519
9972,76106336
9973,76106341
