,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
5763,3227975251,1676935419,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,812,Rogers Communications Canada Inc.,99.244.0.251,43.0614,-80.9943,False
7364,1806931219,3227975250,5645,"TekSavvy Solutions, Inc.",107.179.149.19,43.6784,-79.2941,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
7603,3227975251,3332465478,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6171,WorldGate,198.161.99.70,53.4914,-113.4802,False
7747,3227975250,3091461651,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,6327,Shaw Communications Inc.,184.67.246.19,49.1285,-122.6236,False
8235,3640368282,3227975251,14007,Skyway West,216.251.156.154,48.4167,-123.365,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
8496,3227975251,1090360938,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,19171,Stargate Connections Inc.,64.253.150.106,49.1707,-122.7326,False
8538,3455714514,3227975250,852,TELUS Communications Inc.,205.250.4.210,49.076,-121.9883,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
8541,3227975250,1268596475,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,75.157.62.251,49.0384,-122.3485,False
8622,3640368787,3227975251,14007,Skyway West,216.251.158.147,49.2807,-123.0397,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
8943,3227975250,3640368787,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,14007,Skyway West,216.251.158.147,49.2807,-123.0397,False
8957,3227975250,3332465478,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,6171,WorldGate,198.161.99.70,53.4914,-113.4802,False
9479,3640368282,3227975250,14007,Skyway West,216.251.156.154,48.4167,-123.365,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
9684,1677282775,3227975250,812,Rogers Communications Canada Inc.,99.249.77.215,44.0433,-79.4912,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
11052,3227975250,3626900266,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,11478,Openface Inc.,216.46.27.42,45.47,-73.6686,False
11068,1178711303,3227975251,6327,Shaw Communications Inc.,70.65.181.7,49.6511,-112.8351,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
