,ID,calldate,callend,duration,connect_duration,progress_time,first_rtp_time,caller,caller_domain,caller_reverse,callername,callername_reverse,called,called_domain,called_reverse,sipcallerip,sipcallerport,sipcalledip,sipcalledport,whohanged,bye,lastSIPresponse_id,lastSIPresponseNum,sighup,dscp,a_index,b_index,a_payload,b_payload,a_saddr,b_saddr,a_received,b_received,a_lost,b_lost,a_ua_id,b_ua_id,a_avgjitter_mult10,b_avgjitter_mult10,a_maxjitter,b_maxjitter,a_sl1,a_sl2,a_sl3,a_sl4,a_sl5,a_sl6,a_sl7,a_sl8,a_sl9,a_sl10,a_d50,a_d70,a_d90,a_d120,a_d150,a_d200,a_d300,b_sl1,b_sl2,b_sl3,b_sl4,b_sl5,b_sl6,b_sl7,b_sl8,b_sl9,b_sl10,b_d50,b_d70,b_d90,b_d120,b_d150,b_d200,b_d300,a_mos_lqo_mult10,b_mos_lqo_mult10,a_mos_f1_mult10,a_mos_f2_mult10,a_mos_adapt_mult10,b_mos_f1_mult10,b_mos_f2_mult10,b_mos_adapt_mult10,a_rtcp_loss,a_rtcp_maxfr,a_rtcp_avgfr_mult10,a_rtcp_maxjitter,a_rtcp_avgjitter_mult10,b_rtcp_loss,b_rtcp_maxfr,b_rtcp_avgfr_mult10,b_rtcp_maxjitter,b_rtcp_avgjitter_mult10,a_last_rtp_from_end,b_last_rtp_from_end,payload,jitter_mult10,mos_min_mult10,a_mos_min_mult10,b_mos_min_mult10,packet_loss_perc_mult1000,a_packet_loss_perc_mult1000,b_packet_loss_perc_mult1000,delay_sum,a_delay_sum,b_delay_sum,delay_avg_mult100,a_delay_avg_mult100,b_delay_avg_mult100,delay_cnt,a_delay_cnt,b_delay_cnt,rtcp_avgfr_mult10,rtcp_avgjitter_mult10,lost,id_sensor,price_operator_mult100,price_operator_currency_id,price_customer_mult100,price_customer_currency_id,reason_sip_cause,reason_sip_text_id,reason_q850_cause,reason_q850_text_id,caller_silence,called_silence,caller_silence_end,called_silence_end,a_mos_xr_min_mult10,b_mos_xr_min_mult10,a_mos_xr_mult10,b_mos_xr_mult10,response_time_100,response_time_xxx,a_mos_f1_min_mult10,a_mos_f2_min_mult10,a_mos_adapt_min_mult10,b_mos_f1_min_mult10,b_mos_f2_min_mult10,b_mos_adapt_min_mult10,a_rtp_ptime,b_rtp_ptime,flags,ipaddr_caller,ipaddr_called,ipaddr_lat_sip_caller,ipaddr_lat_ip_called,ipaddr_lons_ip_caller,ipaddr_lons_ip_called
480,76109039,2018-05-01 12:24:44,2018-05-01 12:25:08,24,3.0,1.0,1.0,device,sanitized,ecived,sanitized,sanitized,243,sanitized,342,417208698,29750,1654599251,11000,caller,3,1,200,0,33685504,1.0,0.0,9.0,9.0,417208698.0,1654599251.0,985.0,1139.0,0.0,0.0,3931.0,2.0,23.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,8.0,20.0,11.0,56.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,9.0,23.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,74.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,2.0,34.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.83,45.2,40.7432,-64.1167,-75.2242
481,76103664,2018-05-01 09:27:51,2018-05-01 09:29:06,75,61.0,2.0,2.0,device,sanitized,ecived,sanitized,sanitized,437240,sanitized,042734,417208698,57700,1654599248,5060,caller,3,1,200,0,131072,2.0,0.0,9.0,9.0,417208698.0,1654599250.0,3048.0,3654.0,0.0,0.0,3931.0,2.0,24.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,0.0,0.0,0.0,3.0,21.0,0.0,0.0,9.0,24.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,2.0,7.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.80,45.2,40.7432,-64.1167,-75.2242
482,76105968,2018-05-01 11:47:44,2018-05-01 11:48:00,16,10.0,2.0,2.0,device,sanitized,ecived,sanitized,sanitized,637,sanitized,736,417208698,29750,1654599251,11000,callee,3,1,200,0,33685504,2.0,0.0,9.0,9.0,417208698.0,1654599251.0,485.0,711.0,1.0,0.0,3931.0,2.0,21.0,18.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,0.0,0.0,13.0,133.0,0.0,0.0,0.0,5.0,43.0,0.0,0.0,9.0,21.0,45.0,45.0,45.0,206.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,1.0,902,,255.0,,255.0,,,16.0,24.0,,,,,,,,,1.0,7.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.83,45.2,40.7432,-64.1167,-75.2242
483,76108016,2018-05-01 12:14:46,2018-05-01 12:15:24,38,5.0,8.0,,device,sanitized,ecived,sanitized,sanitized,765970,sanitized,079567,1676539840,1026,3227975507,11000,caller,3,1,200,0,33685504,,,,,,,,,,,3920.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,255.0,,255.0,,,,,,,,,,,,,2.0,12.0,,,,,,,,,,99.237.247.192,192.102.255.83,47.6333,43.6319,-52.85,-79.3716
484,76108017,2018-05-01 12:14:46,2018-05-01 12:15:24,38,5.0,8.0,8.0,device,sanitized,ecived,sanitized,sanitized,765970,sanitized,079567,1654599249,5060,3227975507,11000,caller,3,1,200,0,0,1.0,0.0,9.0,9.0,1676539840.0,3227975507.0,1258.0,1528.0,0.0,0.0,3920.0,2.0,27.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,0.0,0.0,0.0,2.0,22.0,0.0,0.0,9.0,27.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,801,,,,,,,,,,,,,,,,,1.0,2.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,98.159.46.81,192.102.255.83,40.7432,43.6319,-75.2242,-79.3716
485,76110321,2018-05-01 12:35:33,2018-05-01 12:36:58,85,74.0,4.0,4.0,device,sanitized,ecived,sanitized,sanitized,552352,sanitized,253255,2393249330,5060,3227975506,11000,callee,3,1,200,0,33685504,3.0,2.0,0.0,0.0,2393249330.0,3227975506.0,3086.0,3427.0,0.0,0.0,3198.0,2.0,17.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,,,0.0,17.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,801,,,,,,,16.0,21.0,,,,,,,,,2.0,4.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,142.166.22.50,192.102.255.82,47.5124,43.6319,-52.6729,-79.3716
486,76104179,2018-05-01 10:46:43,2018-05-01 10:50:00,197,190.0,1.0,1.0,device,sanitized,ecived,sanitized,sanitized,235,sanitized,532,417208698,16675,1654599250,11000,caller,3,1,200,0,33685504,2.0,0.0,9.0,9.0,417208698.0,1654599250.0,9467.0,9763.0,0.0,0.0,3931.0,2.0,26.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,0.0,0.0,0.0,4.0,27.0,0.0,0.0,9.0,26.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,7.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.82,45.2,40.7432,-64.1167,-75.2242
487,76104180,2018-05-01 10:49:23,2018-05-01 10:50:11,48,18.0,0.0,0.0,device,sanitized,ecived,sanitized,sanitized,235,sanitized,532,417208698,54071,1654599251,11000,caller,3,1,200,0,33685504,2.0,1.0,9.0,9.0,417208698.0,1654599251.0,1459.0,2388.0,0.0,0.0,3931.0,2.0,26.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,3.0,5.0,6.0,21.0,65535.0,1.0,3.0,4.0,31.0,0.0,0.0,9.0,26.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,6.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.83,45.2,40.7432,-64.1167,-75.2242
488,76109044,2018-05-01 12:24:25,2018-05-01 12:25:09,44,43.0,1.0,1.0,device,sanitized,ecived,sanitized,sanitized,230,sanitized,032,417208698,5060,1654599248,5060,caller,3,1,200,0,131072,1.0,0.0,9.0,9.0,417208698.0,1654599250.0,2183.0,2174.0,0.0,0.0,3931.0,2.0,22.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,0.0,0.0,0.0,3.0,24.0,0.0,0.0,9.0,22.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,9.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.80,45.2,40.7432,-64.1167,-75.2242
489,76105462,2018-05-01 11:38:15,2018-05-01 11:39:27,72,63.0,0.0,0.0,device,sanitized,ecived,sanitized,sanitized,411,sanitized,114,417208698,36270,1654599250,11000,caller,3,1,200,0,33685504,2.0,0.0,9.0,9.0,417208698.0,1654599250.0,3132.0,3596.0,0.0,0.0,3932.0,2.0,24.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,65535.0,1.0,1.0,3.0,21.0,0.0,0.0,9.0,24.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,7.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.82,45.2,40.7432,-64.1167,-75.2242
