"MIN(calldate)","MAX(calldate)","INET_NTOA(sipcallerip)","COUNT(sipcallerip)"
"2018-05-01 16:50:38","2018-05-07 02:52:41","192.102.255.82",78
"2018-05-24 13:14:46","2018-05-31 19:11:52","192.102.255.82",78
"2018-05-01 17:11:15","2018-05-31 19:04:42","192.102.254.82",76
"2018-05-10 16:29:11","2018-05-31 18:01:20","192.102.254.82",75
"2018-05-29 10:39:29","2018-05-31 18:52:30","98.159.46.83",74
"2018-05-01 11:55:30","2018-05-31 19:28:39","192.102.255.83",73
"2018-05-01 16:03:57","2018-05-31 18:23:59","192.102.255.83",73
"2018-05-22 11:34:22","2018-05-31 18:16:28","192.102.255.82",72
"2018-05-01 20:14:38","2018-05-31 16:36:52","192.102.254.83",71
"2018-05-01 14:59:38","2018-05-25 19:17:49","98.159.46.80",70
"2018-05-01 04:09:36","2018-05-31 00:39:14","192.102.255.82",68
"2018-05-01 16:37:06","2018-05-31 17:03:55","192.102.254.82",67
"2018-05-01 01:45:43","2018-05-30 21:09:48","192.102.255.82",67
"2018-05-16 17:41:28","2018-05-31 17:01:12","192.102.255.82",67
"2018-05-01 01:41:37","2018-05-06 22:03:01","192.102.255.82",66
"2018-05-29 18:15:23","2018-05-31 18:59:56","192.102.255.83",66
"2018-05-01 15:57:53","2018-05-31 18:29:19","192.102.254.83",65
"2018-05-24 13:01:35","2018-05-31 19:17:10","192.102.255.82",64
"2018-05-01 15:29:40","2018-05-31 18:10:57","98.159.46.83",64
"2018-05-01 13:35:11","2018-05-31 15:10:50","192.102.255.82",62
"2018-05-01 01:11:43","2018-05-30 18:44:55","192.102.254.83",62
"2018-05-01 16:08:24","2018-05-31 18:01:47","192.102.254.83",61
"2018-05-01 18:43:06","2018-05-31 18:05:04","192.102.255.83",60
"2018-05-02 10:03:59","2018-05-22 15:44:00","192.102.255.82",60
"2018-05-24 10:54:57","2018-05-31 19:08:26","192.102.255.82",59
"2018-05-01 19:33:48","2018-05-30 19:43:09","192.102.255.80",59
"2018-05-01 17:17:34","2018-05-31 17:04:06","192.102.254.82",58
"2018-05-02 20:34:15","2018-05-06 18:05:07","192.102.255.83",58
"2018-05-01 14:10:48","2018-05-04 19:28:04","192.102.255.83",58
"2018-05-01 17:00:00","2018-05-30 22:27:55","192.102.254.83",57
"2018-05-02 19:17:48","2018-05-07 01:01:54","192.102.255.80",56
"2018-05-01 16:23:40","2018-05-31 18:02:57","192.102.255.83",56
"2018-05-01 14:21:10","2018-05-31 18:20:05","98.159.46.83",55
"2018-05-01 18:29:26","2018-05-31 17:39:54","192.102.254.82",54
"2018-05-01 16:03:33","2018-05-28 23:24:47","192.102.254.83",54
"2018-05-02 21:31:35","2018-05-14 15:59:28","192.102.255.81",54
"2018-05-01 15:25:18","2018-05-29 21:21:41","98.159.46.83",53
"2018-05-01 17:38:33","2018-05-31 16:42:54","98.159.46.83",53
"2018-05-01 13:27:08","2018-05-31 14:30:38","98.159.46.83",52
"2018-05-01 00:44:00","2018-05-31 19:02:53","192.102.254.82",52
"2018-05-01 13:52:48","2018-05-04 17:27:59","192.102.255.82",52
"2018-05-03 13:16:17","2018-05-25 18:19:35","192.102.255.82",51
"2018-05-29 14:45:42","2018-05-31 19:25:42","192.102.255.83",51
"2018-05-01 16:33:52","2018-05-31 18:15:08","192.102.255.82",51
"2018-05-01 19:43:29","2018-05-31 16:09:36","192.102.255.83",51
"2018-05-03 12:00:22","2018-05-08 19:33:44","192.102.255.80",50
"2018-05-01 14:54:21","2018-05-05 17:24:20","192.102.255.80",50
"2018-05-01 16:01:55","2018-05-30 21:57:38","192.102.254.83",47
"2018-05-23 18:53:13","2018-05-31 16:52:41","98.159.46.83",47
"2018-05-01 12:53:25","2018-05-11 19:12:04","98.159.46.83",46
"2018-05-02 12:41:34","2018-05-06 15:17:26","192.102.255.80",46
"2018-05-01 13:28:40","2018-05-04 20:39:32","192.102.255.80",46
"2018-05-26 16:35:23","2018-05-31 19:19:49","192.102.255.83",46
"2018-05-23 12:25:44","2018-05-31 18:56:21","98.159.46.80",46
"2018-05-15 11:05:39","2018-05-21 20:20:40","192.102.255.80",45
"2018-05-15 18:21:52","2018-05-29 16:04:34","98.159.46.80",45
"2018-05-02 16:33:22","2018-05-30 17:29:33","192.102.254.83",45
"2018-05-01 13:36:17","2018-05-31 18:00:13","192.102.254.82",44
"2018-05-01 16:13:47","2018-05-30 19:27:38","192.102.254.82",43
"2018-05-01 00:09:41","2018-05-04 20:00:43","192.102.254.82",43
"2018-05-01 19:13:17","2018-05-31 18:30:07","192.102.254.82",42
"2018-05-09 13:08:08","2018-05-18 22:00:41","192.102.255.83",42
"2018-05-01 17:08:42","2018-05-31 17:14:21","192.102.255.83",42
"2018-05-01 19:48:29","2018-05-31 17:43:33","192.102.255.82",40
"2018-05-01 20:21:36","2018-05-30 18:21:26","192.102.255.82",39
"2018-05-01 16:28:57","2018-05-29 16:28:52","192.102.254.83",38
"2018-05-03 17:29:52","2018-05-22 21:44:28","192.102.255.82",37
"2018-05-02 13:22:15","2018-05-31 17:11:54","192.102.255.80",37
"2018-05-02 15:43:12","2018-05-31 15:23:57","192.102.254.83",36
"2018-05-09 13:48:09","2018-05-12 15:56:57","192.102.255.80",36
"2018-05-01 15:04:25","2018-05-10 15:24:30","192.102.254.83",36
"2018-05-01 18:49:06","2018-05-31 15:59:48","192.102.254.82",35
"2018-05-01 15:05:44","2018-05-31 15:26:20","192.102.255.82",35
"2018-05-01 06:58:46","2018-05-30 02:16:48","192.102.255.82",35
"2018-05-01 17:55:58","2018-05-17 18:02:45","192.102.254.83",35
"2018-05-01 19:15:54","2018-05-31 16:57:20","192.102.254.83",33
"2018-05-04 15:14:06","2018-05-31 19:09:07","192.102.255.82",33
"2018-05-01 14:22:39","2018-05-31 14:30:54","192.102.255.80",33
"2018-05-14 13:56:21","2018-05-16 20:30:03","192.102.255.80",32
"2018-05-02 18:09:56","2018-05-31 18:26:11","192.102.254.83",30
"2018-05-23 20:24:38","2018-05-30 21:07:09","192.102.254.83",30
"2018-05-01 15:34:05","2018-05-31 16:29:14","192.102.255.82",29
"2018-05-01 13:42:06","2018-05-29 21:27:49","192.102.254.82",29
"2018-05-23 13:01:13","2018-05-31 18:14:42","98.159.46.80",28
"2018-05-01 13:12:58","2018-05-31 16:44:15","192.102.254.82",28
"2018-05-03 19:12:36","2018-05-31 18:23:46","192.102.255.81",28
"2018-05-07 16:04:47","2018-05-30 15:31:51","192.102.255.80",28
"2018-05-01 16:28:29","2018-05-30 23:28:36","192.102.255.82",27
"2018-05-18 10:51:25","2018-05-24 18:31:14","192.102.255.83",27
"2018-05-25 12:39:32","2018-05-28 18:38:38","98.159.46.83",27
"2018-05-14 16:41:08","2018-05-31 17:34:09","192.102.254.83",27
"2018-05-01 17:23:35","2018-05-18 15:58:50","192.102.255.82",27
"2018-05-17 15:15:29","2018-05-25 16:06:30","192.102.255.83",27
"2018-05-02 14:20:16","2018-05-18 21:00:54","192.102.255.82",27
"2018-05-01 15:27:12","2018-05-02 20:04:02","192.102.255.80",26
"2018-05-01 20:30:56","2018-05-30 20:16:44","192.102.254.82",26
"2018-05-01 17:21:15","2018-05-31 01:06:58","192.102.254.82",26
"2018-05-01 14:30:36","2018-05-30 20:41:31","192.102.254.83",25
"2018-05-17 16:35:03","2018-05-31 00:27:20","192.102.254.83",24
"2018-05-01 13:24:39","2018-05-30 13:22:42","192.102.255.80",24
"2018-05-18 20:24:11","2018-05-23 21:35:32","98.159.46.83",24
"2018-05-01 16:19:50","2018-05-17 02:14:15","192.102.254.82",24
"2018-05-28 13:09:05","2018-05-31 19:24:38","192.102.255.82",24
"2018-05-01 18:27:37","2018-05-31 15:32:21","192.102.255.83",23
"2018-05-01 23:22:35","2018-05-31 16:51:04","192.102.254.83",23
"2018-05-03 13:30:59","2018-05-31 15:56:52","98.159.46.82",23
"2018-05-01 15:00:56","2018-05-29 13:21:58","192.102.255.83",23
"2018-05-01 00:10:52","2018-05-02 03:42:39","192.102.255.83",22
"2018-05-23 12:00:42","2018-05-31 17:44:36","98.159.46.83",22
"2018-05-12 22:31:22","2018-05-31 15:02:16","192.102.255.83",21
"2018-05-01 17:50:11","2018-05-30 17:23:18","192.102.255.80",21
"2018-05-22 16:02:40","2018-05-25 23:55:03","192.102.255.82",21
"2018-05-03 16:29:32","2018-05-25 14:40:47","98.159.46.80",21
"2018-05-22 12:52:29","2018-05-22 18:32:05","192.102.255.83",20
"2018-05-02 17:26:52","2018-05-30 22:17:32","192.102.254.82",20
"2018-05-15 18:01:35","2018-05-28 18:05:36","98.159.46.83",20
"2018-05-03 18:27:50","2018-05-30 22:47:29","192.102.254.83",20
"2018-05-01 07:33:15","2018-05-01 21:27:39","192.102.255.83",20
"2018-05-23 12:39:56","2018-05-24 00:53:09","98.159.46.82",20
"2018-05-01 18:37:58","2018-05-16 19:15:50","192.102.254.83",20
"2018-05-02 14:33:05","2018-05-31 19:21:49","98.159.46.83",19
"2018-05-02 22:25:12","2018-05-19 14:59:47","192.102.255.81",19
"2018-05-28 14:45:19","2018-05-30 21:36:53","192.102.255.83",18
"2018-05-01 13:30:57","2018-05-02 16:39:43","192.102.255.80",18
"2018-05-02 00:09:00","2018-05-31 19:21:37","192.102.255.81",18
"2018-05-02 15:47:23","2018-05-22 01:48:25","192.102.255.83",18
"2018-05-08 12:49:29","2018-05-30 14:25:40","192.102.255.80",17
"2018-05-07 17:35:03","2018-05-30 17:46:31","192.102.255.82",17
"2018-05-07 17:05:05","2018-05-30 13:41:41","98.159.46.83",17
"2018-05-07 18:14:34","2018-05-29 13:04:50","192.102.255.81",16
"2018-05-01 17:27:07","2018-05-31 18:02:06","192.102.254.82",16
"2018-05-04 14:56:11","2018-05-31 15:14:50","98.159.46.80",16
"2018-05-26 22:44:03","2018-05-31 18:02:03","192.102.255.82",16
"2018-05-01 14:03:42","2018-05-21 17:29:22","98.159.46.83",16
"2018-05-07 18:25:46","2018-05-31 17:59:33","192.102.254.83",15
"2018-05-14 17:43:29","2018-05-22 21:44:04","192.102.255.81",15
"2018-05-01 11:12:54","2018-05-30 10:01:20","98.159.46.80",15
"2018-05-23 12:52:21","2018-05-23 21:30:53","98.159.46.83",15
"2018-05-15 14:31:46","2018-05-30 14:52:04","98.159.46.83",14
"2018-05-03 17:28:25","2018-05-29 13:08:19","98.159.46.80",14
"2018-05-25 06:57:20","2018-05-26 10:05:01","192.102.255.82",14
"2018-05-23 13:08:57","2018-05-24 01:06:20","98.159.46.82",13
"2018-05-02 01:54:01","2018-05-24 02:57:56","192.102.254.82",13
"2018-05-08 15:34:22","2018-05-30 11:01:02","192.102.255.81",12
"2018-05-23 11:24:14","2018-05-30 16:46:50","98.159.46.80",12
"2018-05-02 12:11:27","2018-05-02 15:15:58","192.102.255.80",12
"2018-05-18 20:54:14","2018-05-22 20:38:51","192.102.255.82",12
"2018-05-30 18:01:23","2018-05-31 19:04:01","192.102.254.82",12
"2018-05-01 16:06:14","2018-05-03 19:10:36","192.102.255.82",12
"2018-05-02 03:11:08","2018-05-30 00:45:45","192.102.254.82",11
"2018-05-03 16:50:49","2018-05-24 06:28:04","192.102.254.82",11
"2018-05-23 14:08:20","2018-05-31 17:55:23","98.159.46.80",11
"2018-05-08 17:50:26","2018-05-27 01:40:13","192.102.254.82",11
"2018-05-02 16:09:48","2018-05-07 12:03:05","192.102.255.80",11
"2018-05-09 20:23:46","2018-05-25 20:31:36","98.159.46.83",11
"2018-05-11 15:58:56","2018-05-28 17:31:34","192.102.254.82",11
"2018-05-24 12:42:55","2018-05-24 14:05:47","98.159.46.83",11
"2018-05-01 17:59:21","2018-05-04 21:04:06","192.102.254.82",11
"2018-05-01 22:26:10","2018-05-31 16:35:09","192.102.254.82",11
"2018-05-01 10:42:09","2018-05-01 16:11:11","192.102.255.83",10
"2018-05-07 23:34:26","2018-05-11 00:21:30","192.102.255.81",10
"2018-05-02 16:53:30","2018-05-08 14:00:47","98.159.46.83",10
"2018-05-14 18:26:27","2018-05-31 16:39:31","192.102.254.82",10
"2018-05-09 18:15:43","2018-05-30 21:37:17","192.102.254.82",10
"2018-05-02 13:59:11","2018-05-02 17:44:09","192.102.255.83",10
"2018-05-08 15:03:52","2018-05-31 18:50:18","192.102.255.80",10
"2018-05-01 19:50:45","2018-05-03 17:08:54","192.102.255.80",10
"2018-05-15 17:26:51","2018-05-16 12:15:44","192.102.255.83",10
"2018-05-04 19:39:30","2018-05-24 23:21:37","192.102.254.82",9
"2018-05-01 14:43:12","2018-05-31 13:57:10","98.159.46.80",9
"2018-05-29 18:29:19","2018-05-31 18:39:44","98.159.46.83",9
"2018-05-23 13:56:49","2018-05-31 17:22:17","98.159.46.83",9
"2018-05-25 15:29:51","2018-05-25 22:57:26","192.102.254.83",8
"2018-05-02 19:29:47","2018-05-23 19:07:26","98.159.46.83",8
"2018-05-22 20:40:45","2018-05-31 17:34:24","98.159.46.80",8
"2018-05-01 11:16:35","2018-05-01 19:20:26","192.102.255.83",8
"2018-05-08 17:41:28","2018-05-08 19:55:37","192.102.255.80",8
"2018-05-22 14:10:16","2018-05-22 20:13:28","192.102.255.82",8
"2018-05-01 19:27:21","2018-05-29 19:03:13","192.102.254.82",8
"2018-05-23 10:50:41","2018-05-23 19:58:25","98.159.46.83",8
"2018-05-07 14:51:31","2018-05-08 15:33:47","192.102.255.82",8
"2018-05-05 03:32:02","2018-05-05 16:35:49","192.102.255.82",8
"2018-05-27 02:14:51","2018-05-29 15:26:44","192.102.254.82",7
"2018-05-04 20:01:27","2018-05-15 17:46:25","98.159.46.83",7
"2018-05-03 22:33:00","2018-05-31 00:23:57","192.102.254.83",7
"2018-05-29 21:46:54","2018-05-29 22:49:10","192.102.254.82",7
"2018-05-24 05:07:06","2018-05-28 15:20:37","192.102.255.83",7
"2018-05-24 12:07:51","2018-05-25 17:01:30","192.102.255.82",7
"2018-05-31 14:22:00","2018-05-31 19:28:32","192.102.255.82",6
"2018-05-21 14:53:28","2018-05-31 18:35:42","98.159.46.80",6
"2018-05-15 19:56:01","2018-05-16 20:02:29","192.102.254.82",6
"2018-05-23 14:16:09","2018-05-24 16:19:23","98.159.46.80",6
"2018-05-07 19:35:14","2018-05-23 20:15:34","98.159.46.80",6
"2018-05-04 20:38:40","2018-05-04 20:48:17","192.102.255.82",6
"2018-05-15 17:12:59","2018-05-28 23:56:28","192.102.254.83",5
"2018-05-07 15:52:01","2018-05-31 12:36:27","192.102.254.83",5
"2018-05-23 16:01:42","2018-05-24 16:46:00","98.159.46.80",5
"2018-05-30 18:01:41","2018-05-31 18:40:05","192.102.254.83",5
"2018-05-08 18:17:29","2018-05-16 17:18:33","192.102.255.82",5
"2018-05-15 15:40:42","2018-05-19 00:35:34","192.102.254.82",5
"2018-05-31 11:59:15","2018-05-31 17:31:05","98.159.46.82",5
"2018-05-14 17:13:45","2018-05-14 17:47:39","98.159.46.82",5
"2018-05-02 21:54:28","2018-05-28 21:11:49","192.102.254.82",5
"2018-05-22 17:43:46","2018-05-22 19:33:02","192.102.254.83",5
"2018-05-23 13:30:02","2018-05-23 18:01:47","98.159.46.83",5
"2018-05-06 20:46:58","2018-05-06 21:56:18","192.102.255.81",4
"2018-05-03 16:53:51","2018-05-03 18:52:49","192.102.255.80",4
"2018-05-22 13:46:03","2018-05-22 16:21:36","192.102.255.83",4
"2018-05-07 21:28:39","2018-05-25 21:28:51","192.102.254.83",4
"2018-05-30 01:15:13","2018-05-30 18:48:45","192.102.254.83",4
"2018-05-28 17:08:37","2018-05-30 17:38:32","192.102.255.83",4
"2018-05-01 14:06:09","2018-05-04 20:32:37","192.102.254.83",4
"2018-05-10 21:50:45","2018-05-17 20:53:19","192.102.255.81",4
"2018-05-23 13:07:01","2018-05-23 15:54:04","98.159.46.83",4
"2018-05-23 15:16:14","2018-05-23 20:48:05","98.159.46.80",4
"2018-05-08 17:54:58","2018-05-24 15:22:58","98.159.46.83",3
"2018-05-11 19:36:21","2018-05-11 19:38:17","192.102.254.82",3
"2018-05-16 18:05:29","2018-05-30 18:26:35","98.159.46.80",3
"2018-05-30 15:40:56","2018-05-30 18:05:10","192.102.255.82",3
"2018-05-15 13:47:47","2018-05-31 12:33:20","192.102.255.80",3
"2018-05-22 15:42:54","2018-05-23 19:30:01","98.159.46.83",3
"2018-05-28 17:15:03","2018-05-28 19:26:02","192.102.254.83",3
"2018-05-03 14:03:10","2018-05-07 23:48:27","98.159.46.83",3
"2018-05-04 17:49:58","2018-05-27 18:03:46","192.102.254.83",3
"2018-05-11 15:19:49","2018-05-30 13:18:16","98.159.46.83",3
"2018-05-08 17:09:57","2018-05-08 17:10:38","192.102.254.83",2
"2018-05-02 00:55:24","2018-05-02 00:57:10","192.102.254.83",2
"2018-05-04 15:59:15","2018-05-25 15:29:49","192.102.254.82",2
"2018-05-04 21:28:59","2018-05-04 21:28:59","192.102.255.81",2
"2018-05-14 19:53:24","2018-05-23 05:02:23","192.102.254.82",2
"2018-05-04 16:47:27","2018-05-04 16:47:27","192.102.255.80",2
"2018-05-08 21:19:56","2018-05-08 21:20:22","192.102.254.82",2
"2018-05-10 15:50:50","2018-05-18 13:29:21","192.102.254.82",2
"2018-05-04 14:28:43","2018-05-04 14:28:43","192.102.255.80",2
"2018-05-07 12:27:00","2018-05-07 12:31:11","192.102.254.82",2
"2018-05-01 16:15:27","2018-05-22 19:27:52","192.102.254.83",2
"2018-05-16 14:00:23","2018-05-16 14:00:38","192.102.255.82",2
"2018-05-25 17:19:36","2018-05-25 18:13:23","192.102.254.82",2
"2018-05-03 19:31:43","2018-05-03 19:31:43","192.102.255.81",2
"2018-05-25 20:37:19","2018-05-25 21:14:42","192.102.254.83",2
"2018-05-05 19:29:33","2018-05-05 19:29:33","192.102.255.83",2
"2018-05-10 17:16:11","2018-05-10 17:16:11","192.102.255.80",2
"2018-05-09 16:33:42","2018-05-09 16:33:42","192.102.255.83",2
"2018-05-08 17:32:39","2018-05-11 20:02:29","192.102.254.83",2
"2018-05-12 19:50:33","2018-05-16 01:06:35","192.102.254.83",2
"2018-05-11 16:16:35","2018-05-30 17:46:36","192.102.254.82",2
"2018-05-01 14:32:44","2018-05-01 15:29:15","192.102.254.82",2
"2018-05-22 14:29:21","2018-05-24 18:08:36","98.159.46.80",2
"2018-05-04 19:22:27","2018-05-04 19:22:27","192.102.255.82",2
"2018-05-11 22:15:34","2018-05-14 21:08:28","192.102.254.83",2
"2018-05-14 16:38:44","2018-05-15 17:04:43","192.102.254.83",2
"2018-05-07 19:34:14","2018-05-23 14:15:47","98.159.46.80",2
"2018-05-04 19:21:58","2018-05-04 19:21:58","192.102.254.82",1
"2018-05-02 00:52:23","2018-05-02 00:52:23","192.102.254.82",1
"2018-05-23 16:09:40","2018-05-23 16:09:40","98.159.46.80",1
"2018-05-25 21:03:03","2018-05-25 21:03:03","192.102.254.83",1
"2018-05-30 18:00:56","2018-05-30 18:00:56","192.102.254.83",1
"2018-05-16 19:30:42","2018-05-16 19:30:42","98.159.46.83",1
"2018-05-25 21:43:55","2018-05-25 21:43:55","98.159.46.80",1
"2018-05-30 17:20:04","2018-05-30 17:20:04","192.102.254.82",1
"2018-05-23 14:30:12","2018-05-23 14:30:12","98.159.46.83",1
"2018-05-03 19:58:21","2018-05-03 19:58:21","98.159.46.83",1
"2018-05-02 16:31:50","2018-05-02 16:31:50","98.159.46.80",1
"2018-05-28 14:54:39","2018-05-28 14:54:39","192.102.254.82",1
"2018-05-02 23:32:38","2018-05-02 23:32:38","192.102.254.83",1
"2018-05-24 00:08:38","2018-05-24 00:08:38","98.159.46.83",1
"2018-05-10 16:04:57","2018-05-10 16:04:57","98.159.46.80",1
"2018-05-18 21:41:10","2018-05-18 21:41:10","192.102.255.83",1
"2018-05-29 01:35:00","2018-05-29 01:35:00","192.102.254.82",1
"2018-05-24 16:02:15","2018-05-24 16:02:15","192.102.254.82",1
"2018-05-29 17:15:30","2018-05-29 17:15:30","192.102.254.83",1
"2018-05-01 15:03:14","2018-05-01 15:03:14","192.102.254.83",1
"2018-05-31 14:48:19","2018-05-31 14:48:19","192.102.255.83",1
"2018-05-31 14:09:49","2018-05-31 14:09:49","98.159.46.83",1
"2018-05-13 21:30:11","2018-05-13 21:30:11","192.102.254.83",1
"2018-05-21 00:06:08","2018-05-21 00:06:08","192.102.254.83",1
"2018-05-23 18:07:35","2018-05-23 18:07:35","98.159.46.83",1
"2018-05-23 18:15:23","2018-05-23 18:15:23","98.159.46.80",1
"2018-05-31 15:17:35","2018-05-31 15:17:35","192.102.255.82",1
"2018-05-04 14:24:38","2018-05-04 14:24:38","98.159.46.83",1
"2018-05-29 16:26:14","2018-05-29 16:26:14","192.102.254.83",1
"2018-05-03 20:53:00","2018-05-03 20:53:00","192.102.254.82",1
"2018-05-21 17:58:34","2018-05-21 17:58:34","192.102.254.83",1
"2018-05-08 16:50:08","2018-05-08 16:50:08","98.159.46.83",1
"2018-05-11 23:18:53","2018-05-11 23:18:53","192.102.254.82",1
"2018-05-10 15:35:07","2018-05-10 15:35:07","192.102.254.82",1
"2018-05-04 18:17:19","2018-05-04 18:17:19","98.159.46.80",1
"2018-05-14 19:01:23","2018-05-14 19:01:23","98.159.46.83",1
"2018-05-28 12:20:12","2018-05-28 12:20:12","98.159.46.80",1
"2018-05-13 18:10:17","2018-05-13 18:10:17","192.102.254.82",1
"2018-05-29 21:17:45","2018-05-29 21:17:45","192.102.254.82",1
