"calldate_first","calldate_last","INET_NTOA(sipcallerip)","calls_qty_per_ip","connect_duration_minutes"
"2018-01-01 00:02:07","2018-03-23 15:17:04","172.218.45.224",774,2589.7333
"2018-01-30 21:10:08","2018-03-02 21:44:21","75.155.190.73",662,2564.6167
"2018-05-04 19:25:39","2018-05-31 18:53:40","72.38.34.153",3317,2554.1333
"2018-01-02 14:36:40","2018-05-31 19:21:49","104.7.116.236",1985,2528.8667
"2018-02-05 20:34:36","2018-02-27 19:26:57","75.155.255.92",569,2524.8000
"2018-01-22 14:17:14","2018-05-14 12:09:41","65.94.26.201",1167,2500.7833
"2018-01-02 18:55:52","2018-05-29 18:28:57","73.65.60.125",228,2493.9833
"2018-01-22 20:34:15","2018-05-31 17:44:12","184.68.172.30",344,2492.0833
"2018-01-26 19:50:19","2018-05-31 17:49:38","174.119.3.234",934,2486.8500
"2018-01-02 18:36:28","2018-05-30 22:18:53","184.68.191.62",699,2458.9167
"2018-03-28 12:33:23","2018-05-31 15:44:39","142.167.22.149",516,2457.4667
"2018-01-10 13:03:43","2018-04-18 18:24:01","24.50.173.112",845,2457.4667
"2018-02-16 13:29:03","2018-03-23 15:17:16","142.167.23.15",491,2447.9333
"2018-04-02 11:53:06","2018-05-31 19:20:51","142.166.132.165",342,2412.3833
"2018-01-03 17:21:38","2018-05-31 17:42:40","70.64.30.59",434,2395.8167
"2018-01-02 01:32:22","2018-05-31 05:47:34","70.184.78.28",232,2352.9000
"2018-01-02 17:43:07","2018-05-31 19:14:10","162.156.78.131",824,2308.7000
"2018-02-27 11:58:35","2018-05-24 19:17:54","209.171.88.182",823,2297.7500
"2018-01-02 19:23:03","2018-05-31 16:15:48","104.3.107.27",1733,2290.4833
"2018-05-15 16:54:50","2018-05-24 22:44:17","205.205.36.94",890,2284.4833
"2018-03-19 12:49:07","2018-05-31 17:36:16","24.146.46.43",1265,2283.6500
"2018-01-02 13:55:03","2018-03-29 20:06:43","206.172.28.222",686,2254.0667
"2018-02-27 18:20:23","2018-05-02 18:02:15","104.157.99.33",394,2214.3333
"2018-01-29 13:53:40","2018-05-31 18:39:26","147.194.188.247",1169,2211.8333
"2018-01-02 13:07:14","2018-03-15 19:53:16","50.115.184.114",1188,2185.7000
"2018-01-02 16:54:34","2018-03-06 01:13:01","70.79.76.251",1254,2176.8833
"2018-03-27 18:55:31","2018-05-31 14:26:47","142.167.22.159",1076,2172.3500
"2018-04-27 13:21:19","2018-05-22 21:40:01","99.229.200.208",155,2168.0833
"2018-01-03 18:49:00","2018-05-25 13:55:55","104.250.93.81",366,2165.1333
"2018-01-08 17:23:56","2018-02-12 20:26:50","24.50.187.228",1449,2149.5500
"2018-01-01 23:39:54","2018-02-16 01:41:19","73.191.141.23",243,2137.3167
"2018-01-02 13:59:13","2018-03-06 19:18:01","142.166.52.190",394,2107.1500
"2018-03-16 22:41:47","2018-05-20 15:12:05","45.3.27.186",234,2098.5167
"2018-02-01 21:19:41","2018-05-31 18:33:45","199.182.221.46",698,2062.5833
"2018-01-02 17:44:00","2018-05-31 16:44:52","207.6.39.134",1175,2037.9833
"2018-01-02 21:04:44","2018-03-14 15:43:27","108.172.129.137",933,2036.3500
"2018-01-02 16:57:31","2018-05-31 19:29:01","50.252.117.153",1188,2036.0667
"2018-01-19 20:09:05","2018-02-09 18:09:55","24.50.189.13",1198,2024.3500
"2018-02-13 20:55:41","2018-03-14 17:01:42","70.79.80.61",667,1959.0500
"2018-03-15 18:36:44","2018-04-16 22:00:56","74.50.230.154",1047,1957.3667
"2018-01-02 13:20:16","2018-05-31 19:24:13","72.38.34.36",1307,1957.1833
"2018-02-18 22:35:08","2018-03-15 17:37:49","75.156.111.48",1720,1945.8833
"2018-02-21 15:09:45","2018-05-31 14:15:04","162.255.114.180",316,1945.5500
"2018-01-22 15:46:35","2018-03-25 18:57:20","50.98.132.9",1106,1920.7167
"2018-01-02 18:06:06","2018-05-31 19:16:32","70.69.249.74",739,1907.5167
"2018-02-15 01:13:01","2018-05-31 16:44:55","75.157.187.164",562,1892.7333
"2018-01-02 13:41:06","2018-05-31 16:46:58","209.128.20.82",1487,1884.4167
"2018-04-11 21:43:09","2018-05-31 00:57:34","72.2.42.198",189,1871.6000
"2018-01-09 22:56:44","2018-01-26 23:01:59","108.180.215.19",437,1863.8000
"2018-01-01 14:09:50","2018-03-14 19:21:06","45.3.7.243",1028,1858.8667
"2018-01-03 16:37:29","2018-05-31 18:53:14","207.34.54.106",664,1842.2500
"2018-04-30 16:59:24","2018-05-31 18:49:43","142.166.53.101",1310,1835.9333
"2018-01-02 13:41:46","2018-05-30 20:18:15","99.42.155.94",1147,1827.6333
"2018-01-02 19:08:08","2018-05-25 19:07:36","69.166.25.49",316,1824.6667
"2018-01-02 18:30:34","2018-05-31 19:29:35","72.38.34.134",763,1821.9667
"2018-01-02 15:02:16","2018-05-31 18:41:10","108.240.172.19",1247,1807.9000
"2018-04-02 10:52:37","2018-05-14 17:51:28","142.162.30.26",506,1798.3333
"2018-03-24 05:12:55","2018-05-17 15:16:56","108.172.75.77",250,1792.6000
"2018-01-26 13:59:54","2018-05-31 19:31:08","99.243.189.253",1526,1792.2333
"2018-01-23 19:52:48","2018-05-29 22:40:45","50.98.73.55",1777,1711.1833
"2018-03-06 17:09:08","2018-05-31 18:54:08","50.68.212.146",947,1687.5667
"2018-01-02 18:27:52","2018-03-01 23:01:00","24.80.209.138",134,1686.9000
"2018-01-03 15:36:58","2018-05-22 21:51:40","162.250.197.50",237,1675.4833
"2018-04-19 14:55:18","2018-05-25 18:16:01","24.50.166.124",347,1673.6333
"2018-01-10 11:18:56","2018-03-12 18:55:56","45.3.26.218",942,1666.1333
"2018-02-08 16:57:52","2018-05-31 01:06:13","70.65.181.7",675,1661.7833
"2018-01-02 12:39:12","2018-02-24 18:51:50","173.231.124.228",979,1633.0833
"2018-02-22 19:17:50","2018-04-03 00:00:31","65.110.26.164",868,1631.9667
"2018-02-01 12:17:49","2018-03-29 17:47:03","142.162.30.21",463,1607.5833
"2018-03-02 19:02:33","2018-05-31 19:09:02","173.32.83.17",908,1600.4167
"2018-04-19 13:40:40","2018-05-31 18:59:41","45.3.12.58",452,1571.8000
"2018-03-23 16:24:38","2018-05-07 02:21:53","72.139.192.246",588,1564.8667
"2018-04-06 17:20:13","2018-05-31 15:45:51","142.166.52.142",470,1552.2167
"2018-01-10 15:30:02","2018-04-18 16:40:17","24.50.176.221",1211,1525.1833
"2018-01-01 18:09:34","2018-03-08 15:59:41","50.64.99.174",1174,1522.9500
"2018-01-02 16:55:51","2018-05-31 18:36:10","97.78.220.46",1029,1513.5833
"2018-03-08 22:42:12","2018-05-14 15:59:34","70.28.248.143",880,1477.7833
"2018-01-02 23:00:39","2018-03-21 19:39:53","184.69.154.242",1003,1462.6833
"2018-01-03 19:02:25","2018-05-31 19:16:46","216.221.66.82",609,1450.5667
"2018-01-15 15:27:51","2018-05-31 18:57:55","70.80.52.11",148,1430.7833
"2018-03-05 18:59:03","2018-05-30 20:01:20","96.49.160.29",155,1423.0833
"2018-01-02 16:38:50","2018-01-19 23:13:50","173.183.1.146",476,1410.4333
"2018-03-12 20:03:38","2018-05-31 19:08:35","50.115.184.141",501,1405.8500
"2018-05-14 12:53:17","2018-05-31 19:19:02","135.23.169.122",1073,1402.2000
"2018-01-02 16:28:40","2018-05-31 17:41:43","96.53.59.18",279,1400.4833
"2018-02-06 18:41:50","2018-04-14 14:52:42","72.139.199.220",672,1368.9167
"2018-05-09 19:47:23","2018-05-29 20:16:38","204.13.51.5",4892,1358.1333
"2018-04-20 01:15:48","2018-05-31 03:53:06","99.199.80.41",307,1343.2333
"2018-01-01 21:06:23","2018-05-31 15:07:52","207.115.104.50",400,1335.8000
"2018-04-16 19:35:41","2018-05-31 19:17:12","99.242.141.103",405,1332.5333
"2018-01-02 16:25:49","2018-05-31 13:47:59","104.250.93.56",323,1291.9667
"2018-01-03 17:11:15","2018-05-30 21:49:28","70.79.170.47",236,1290.0667
"2018-03-06 18:23:24","2018-04-13 19:04:03","72.139.196.3",752,1288.5667
"2018-05-02 14:46:09","2018-05-31 19:07:31","174.115.126.41",641,1284.5167
"2018-03-13 20:43:13","2018-04-10 16:31:57","69.157.27.183",476,1259.4833
"2018-01-03 16:19:48","2018-05-31 13:14:39","72.139.82.174",434,1249.8833
"2018-03-06 16:14:20","2018-04-17 17:11:27","24.50.161.212",224,1248.1000
"2018-01-03 14:10:35","2018-05-30 20:59:44","173.243.202.122",423,1246.1667
"2018-01-01 16:47:10","2018-03-18 18:02:05","45.3.17.188",499,1245.8333
"2018-01-02 22:08:05","2018-03-29 21:34:41","172.255.50.218",639,1222.1833
"2018-01-04 19:58:02","2018-05-22 11:25:16","104.250.92.225",734,1220.7333
"2018-01-02 16:49:31","2018-05-30 20:46:26","184.68.109.198",220,1215.4167
"2018-01-01 03:42:48","2018-05-31 18:56:12","24.222.25.124",1403,1211.3333
"2018-04-25 15:36:57","2018-05-04 18:39:45","45.3.23.42",776,1206.2167
"2018-01-01 14:01:50","2018-03-27 17:27:48","184.161.53.198",256,1177.5000
"2018-01-05 14:30:51","2018-05-29 13:19:03","24.106.156.202",966,1169.4833
"2018-01-02 18:44:29","2018-03-12 15:01:24","50.115.184.238",436,1159.7833
"2018-01-03 17:13:10","2018-05-31 18:00:24","216.221.68.137",398,1153.6167
"2018-01-03 12:28:25","2018-01-31 18:32:01","142.166.22.114",283,1151.3667
"2018-02-09 16:46:47","2018-03-09 21:50:46","69.157.25.161",526,1150.7667
"2018-01-03 14:45:17","2018-05-31 18:12:43","24.140.248.45",1336,1142.7333
"2018-01-02 19:51:55","2018-05-31 18:39:09","72.38.68.234",580,1138.9833
"2018-01-01 03:55:27","2018-05-26 20:23:21","207.6.48.157",305,1133.2833
"2018-01-02 16:42:32","2018-05-29 22:35:40","99.199.161.49",303,1125.4500
"2018-05-07 12:18:11","2018-05-31 19:07:41","99.233.49.104",527,1107.7500
"2018-01-02 19:07:08","2018-05-31 18:17:20","72.38.222.108",741,1105.4667
"2018-02-15 17:38:03","2018-03-12 14:27:32","174.94.34.150",364,1102.0500
"2018-01-02 11:32:35","2018-03-24 12:43:15","142.177.102.12",1702,1100.2833
"2018-05-05 02:38:12","2018-05-31 19:22:31","70.30.104.200",390,1096.9833
"2018-01-08 18:39:43","2018-05-30 17:45:58","206.116.148.14",248,1088.9167
"2018-01-25 13:30:42","2018-03-03 14:22:10","24.114.91.92",693,1083.8833
"2018-01-01 03:55:54","2018-02-08 00:22:58","50.66.226.38",206,1076.3667
"2018-03-19 13:22:34","2018-04-18 21:51:55","45.3.1.25",580,1075.0833
"2018-01-22 16:00:21","2018-03-02 21:04:48","70.27.126.202",452,1074.8833
"2018-05-07 12:57:52","2018-05-31 19:27:30","45.3.11.105",849,1068.5333
"2018-01-09 19:21:03","2018-02-22 20:28:49","174.7.179.149",39,1066.3167
"2018-01-08 14:47:14","2018-05-30 13:04:22","97.78.209.30",649,1065.7833
"2018-01-02 13:21:47","2018-05-31 17:33:43","99.253.40.253",480,1065.7667
"2018-01-09 18:00:26","2018-05-29 00:28:24","24.67.29.210",442,1058.8833
"2018-04-03 10:35:33","2018-05-07 01:52:09","72.139.205.188",648,1047.9667
"2018-04-01 18:25:57","2018-05-22 12:37:37","142.166.52.98",293,1042.3167
"2018-04-09 15:26:27","2018-05-31 18:46:20","74.123.104.166",326,1038.8333
"2018-01-29 17:30:28","2018-05-15 19:04:11","74.116.219.180",21,1031.7500
"2018-01-01 17:42:12","2018-05-30 15:24:59","174.7.229.41",69,1016.1833
"2018-02-08 21:44:20","2018-03-29 19:37:22","45.3.12.153",246,1005.1000
"2018-01-04 15:09:34","2018-03-21 20:30:17","75.41.116.217",671,994.0000
"2018-04-02 17:38:09","2018-05-31 19:20:24","142.166.53.126",291,993.8333
"2018-01-02 15:14:54","2018-03-23 14:05:02","142.177.103.72",112,981.8500
"2018-02-02 12:55:01","2018-03-21 16:20:45","72.139.207.213",514,978.1333
"2018-01-02 12:56:25","2018-05-04 19:47:18","64.231.60.207",663,966.9667
"2018-01-02 21:42:08","2018-05-31 18:35:30","24.80.222.119",411,966.5333
"2018-03-13 15:19:14","2018-04-18 20:34:42","24.50.171.196",682,961.6500
"2018-05-07 10:08:54","2018-05-11 20:12:04","45.3.2.94",540,958.0667
"2018-01-03 18:31:40","2018-03-05 18:57:32","24.50.170.132",267,956.6333
"2018-03-08 21:05:10","2018-03-30 17:39:33","69.158.104.84",418,953.2667
"2018-03-07 22:03:36","2018-03-08 02:05:43","208.72.120.66",4,950.9833
"2018-02-09 11:59:18","2018-03-21 15:22:04","72.139.193.79",332,932.9333
"2018-03-19 20:11:45","2018-04-10 19:24:26","50.101.104.98",484,931.9000
"2018-01-25 18:37:20","2018-05-31 13:55:25","76.114.176.59",565,927.2000
"2018-01-03 19:09:00","2018-05-31 16:30:40","75.157.62.251",162,926.0167
"2018-03-05 13:06:18","2018-03-29 15:58:51","142.162.146.37",123,917.3000
"2018-01-02 17:11:56","2018-02-09 22:35:53","184.68.60.218",338,899.7500
"2018-03-15 11:03:13","2018-04-19 00:05:53","45.3.11.180",592,896.8000
"2018-01-12 18:24:03","2018-05-01 16:03:53","70.72.157.40",227,896.1500
"2018-01-02 20:56:45","2018-05-30 16:22:23","50.92.200.25",252,894.0333
"2018-01-02 12:53:14","2018-01-19 18:14:24","45.3.28.125",633,892.6333
"2018-01-02 13:43:31","2018-01-25 21:33:47","216.221.68.143",442,887.3167
"2018-01-02 21:16:45","2018-01-21 19:49:35","50.98.135.88",465,875.6333
"2018-01-02 14:34:45","2018-02-10 17:22:09","45.3.31.192",487,874.1000
"2018-01-01 16:32:22","2018-03-31 13:34:52","173.32.250.6",245,870.6500
"2018-04-19 12:08:27","2018-05-31 16:19:09","45.3.29.3",765,861.1833
"2018-04-23 14:39:19","2018-05-31 16:39:39","24.50.189.216",193,854.1500
"2018-01-02 15:28:03","2018-05-31 14:03:59","96.23.239.191",96,853.8500
"2018-02-08 19:48:32","2018-05-31 18:28:08","73.120.142.48",322,853.0833
"2018-03-14 14:44:32","2018-04-04 15:13:31","45.3.28.91",354,844.9333
"2018-01-02 13:46:58","2018-02-16 20:42:57","184.151.36.156",278,841.2333
"2018-02-01 14:26:12","2018-03-20 11:08:57","142.162.30.41",434,836.3000
"2018-04-23 16:56:58","2018-05-31 18:58:56","50.64.148.154",482,825.1167
"2018-01-02 18:25:14","2018-02-01 19:44:45","64.253.150.198",262,822.0000
"2018-01-01 17:44:25","2018-03-18 19:52:25","174.1.178.89",150,820.4333
"2018-05-16 14:02:50","2018-05-31 19:19:21","142.162.146.186",248,819.1667
"2018-01-25 19:56:55","2018-05-28 22:49:12","65.110.2.139",292,818.9667
"2018-01-25 10:33:12","2018-03-05 03:57:10","24.114.102.91",371,801.0500
"2018-02-16 20:50:42","2018-02-28 17:36:34","147.194.35.63",363,776.7167
"2018-01-04 23:34:31","2018-05-31 18:00:12","174.4.232.222",225,772.9500
"2018-02-18 20:04:31","2018-05-30 20:37:20","173.180.255.229",377,770.2000
"2018-01-02 15:34:36","2018-03-07 23:19:40","108.93.185.165",294,767.5000
"2018-05-16 17:11:13","2018-05-31 19:17:27","216.208.184.67",321,766.3167
"2018-03-16 16:02:35","2018-04-25 21:50:32","190.151.134.250",115,757.8833
"2018-01-08 23:56:48","2018-02-19 18:44:28","205.250.198.199",587,748.8833
"2018-05-14 11:26:28","2018-05-22 19:55:38","45.3.0.94",529,746.8833
"2018-04-11 14:23:29","2018-04-27 18:44:17","69.157.27.187",394,732.0667
"2018-04-25 16:01:24","2018-05-04 19:36:22","45.3.2.103",534,731.1167
"2018-03-19 04:34:24","2018-05-02 01:45:05","24.114.81.139",396,725.5167
"2018-04-19 09:54:27","2018-05-31 18:22:15","45.3.6.114",252,724.1333
"2018-04-11 13:12:41","2018-05-31 18:11:07","24.123.22.218",514,718.1500
"2018-04-12 13:10:50","2018-05-31 00:42:09","99.235.64.5",92,713.1000
"2018-04-19 14:09:33","2018-05-31 14:54:21","45.3.24.43",276,708.1333
"2018-05-23 17:31:25","2018-05-31 16:54:44","99.229.198.64",74,704.6500
"2018-02-09 12:53:46","2018-02-15 19:16:53","142.177.103.127",154,697.1000
"2018-01-02 15:35:57","2018-05-28 17:58:40","107.171.178.180",84,688.5167
"2018-01-04 02:50:22","2018-05-30 18:45:20","50.98.98.106",100,684.8333
"2018-03-28 11:47:26","2018-05-30 17:25:35","142.167.22.72",199,678.7000
"2018-04-16 09:57:40","2018-05-22 13:32:11","142.177.102.206",1097,678.3167
"2018-01-04 12:35:18","2018-03-13 20:16:48","99.239.67.69",102,678.0833
"2018-03-07 16:06:56","2018-05-28 18:43:52","173.178.99.159",76,676.5833
"2018-01-02 14:27:59","2018-02-08 17:10:53","24.50.169.117",134,668.8167
"2018-03-11 13:51:16","2018-04-10 13:52:29","174.114.153.43",59,665.9000
"2018-01-15 20:07:48","2018-05-30 23:38:15","96.55.25.116",388,656.5833
"2018-01-02 23:41:11","2018-05-09 18:45:35","96.55.114.179",384,652.1000
"2018-03-21 10:47:56","2018-03-29 19:02:05","142.166.53.118",434,646.1333
"2018-02-12 14:16:07","2018-04-09 23:40:25","24.50.185.9",332,645.7333
"2018-01-02 11:24:54","2018-01-31 20:03:11","142.166.22.170",430,640.2500
"2018-03-03 15:25:19","2018-03-19 11:57:35","142.166.22.59",266,637.9500
"2018-03-02 19:02:13","2018-03-23 19:08:15","142.167.21.236",300,634.1167
"2018-01-26 15:06:02","2018-03-04 18:01:17","24.114.88.61",246,631.1000
"2018-01-07 03:02:24","2018-05-14 17:54:21","173.183.81.221",84,619.9500
"2018-05-10 15:31:49","2018-05-31 15:31:39","96.53.37.62",30,613.4667
"2018-04-30 13:04:57","2018-05-31 18:47:46","142.166.53.164",292,607.7167
"2018-01-03 17:47:34","2018-02-15 18:06:46","206.116.140.163",301,607.1667
"2018-01-02 13:23:18","2018-03-23 14:12:26","142.167.22.169",270,605.1000
"2018-01-03 00:39:12","2018-02-09 16:17:14","184.145.98.69",262,602.5333
"2018-02-15 14:48:54","2018-03-07 22:23:32","24.50.191.64",355,600.0167
"2018-01-02 22:19:12","2018-02-08 23:22:09","174.93.72.156",326,596.0833
"2018-03-16 13:13:20","2018-05-31 18:51:40","45.3.15.20",433,595.7667
"2018-05-24 11:52:17","2018-05-31 18:41:49","24.50.172.5",359,593.8000
"2018-05-05 14:33:29","2018-05-31 18:44:17","45.3.25.210",355,593.5167
"2018-05-15 11:17:10","2018-05-29 16:27:29","142.166.22.146",142,593.0500
"2018-05-08 15:05:42","2018-05-29 17:37:21","69.157.26.119",351,591.7167
"2018-01-02 16:39:13","2018-04-03 21:00:51","172.103.248.140",84,583.7667
"2018-03-07 19:29:12","2018-03-29 12:19:01","142.166.22.88",113,579.0667
"2018-05-28 19:27:22","2018-05-31 19:01:37","99.229.50.53",160,572.5000
"2018-03-30 03:44:36","2018-05-30 19:34:07","24.87.208.193",301,570.8000
"2018-05-15 14:20:56","2018-05-31 19:09:31","64.229.141.188",293,556.6167
"2018-03-01 16:03:43","2018-03-15 18:26:00","24.50.163.162",86,556.2000
"2018-04-02 15:18:11","2018-04-18 19:49:42","24.50.169.201",128,555.1500
"2018-03-21 12:46:56","2018-05-29 13:00:45","99.233.165.71",77,549.3000
"2018-01-17 20:55:36","2018-02-19 00:21:59","208.114.129.175",78,546.9500
"2018-03-21 20:50:35","2018-04-30 14:29:31","192.102.254.61",90,539.7667
"2018-04-29 06:39:02","2018-05-07 23:19:09","184.145.99.20",268,537.3333
"2018-05-07 13:36:59","2018-05-11 20:49:37","45.3.17.167",324,537.1333
"2018-04-27 18:35:35","2018-05-04 18:59:05","45.3.12.186",372,536.8000
"2018-05-15 13:11:32","2018-05-31 19:30:57","24.50.191.83",320,533.3000
"2018-05-07 12:50:04","2018-05-31 19:19:19","45.3.8.10",268,533.2000
"2018-04-03 18:30:37","2018-05-31 17:48:59","99.254.113.153",182,531.9000
"2018-01-08 13:39:58","2018-05-28 15:22:41","70.81.171.20",69,523.4167
"2018-01-02 17:02:08","2018-05-31 19:03:26","207.81.181.119",829,523.2000
"2018-05-02 19:02:28","2018-05-25 19:56:55","70.69.233.2",30,519.2000
"2018-05-24 13:31:05","2018-05-31 19:13:56","70.29.0.17",102,511.6167
"2018-03-05 16:55:57","2018-03-15 19:20:40","76.68.62.73",210,510.6333
"2018-01-03 16:28:54","2018-02-02 15:10:25","70.30.151.221",132,504.1667
"2018-02-26 17:50:49","2018-03-21 18:39:11","72.139.199.11",290,503.4000
"2018-04-11 15:29:01","2018-04-27 20:39:53","50.101.107.233",230,502.9000
"2018-05-02 17:27:17","2018-05-27 18:34:20","75.156.18.29",90,501.4500
"2018-05-17 16:15:36","2018-05-31 19:08:52","154.20.22.158",98,499.1667
"2018-02-09 11:53:16","2018-03-21 14:33:53","72.139.196.76",258,498.5833
"2018-05-26 21:35:18","2018-05-31 18:20:35","45.3.30.50",39,495.5333
"2018-01-01 00:03:37","2018-01-22 16:56:35","50.98.62.79",92,495.4000
"2018-04-03 11:37:44","2018-04-15 21:18:30","24.114.101.100",158,492.7000
"2018-01-02 02:44:40","2018-03-04 17:12:36","99.247.154.1",43,490.4000
"2018-01-02 18:16:07","2018-01-23 16:15:43","74.57.28.35",54,489.2333
"2018-01-25 13:12:50","2018-03-03 16:12:48","24.114.91.118",417,485.6833
"2018-04-19 16:57:42","2018-04-20 14:10:42","24.50.162.50",6,485.6500
"2018-01-03 17:32:06","2018-01-22 16:29:40","24.67.203.100",68,485.0833
"2018-04-23 11:50:36","2018-04-25 15:21:53","24.50.175.85",312,484.0000
"2018-03-28 11:36:27","2018-05-31 14:01:52","142.167.21.115",268,475.6833
"2018-03-22 13:05:46","2018-04-15 16:34:17","72.139.200.205",174,475.3000
"2018-04-03 11:51:11","2018-04-25 16:11:55","72.139.204.13",264,475.2667
"2018-04-05 16:34:31","2018-04-27 18:34:54","142.162.146.196",114,473.7333
"2018-03-29 00:13:18","2018-05-31 00:29:19","184.162.81.212",109,470.9000
"2018-01-02 09:05:02","2018-03-19 18:31:29","216.221.68.157",190,463.3833
"2018-01-04 00:00:29","2018-05-30 18:48:59","96.95.108.49",185,460.1667
"2018-03-23 16:05:14","2018-05-31 17:56:31","99.237.231.23",263,459.2167
"2018-04-02 10:34:53","2018-04-06 19:33:15","142.162.146.167",279,454.7667
"2018-04-04 14:56:51","2018-05-05 18:53:11","72.139.193.67",353,451.8667
"2018-01-02 15:06:50","2018-03-15 14:43:36","99.233.188.231",124,446.9500
"2018-04-19 11:19:18","2018-04-20 20:30:26","45.3.7.247",304,444.0000
"2018-01-02 17:33:38","2018-05-31 18:04:09","70.36.57.224",144,440.1667
"2018-01-16 14:47:56","2018-02-08 14:51:45","198.13.237.192",97,438.8667
"2018-02-10 18:17:44","2018-03-11 11:59:41","24.114.70.10",266,438.7167
"2018-04-27 15:51:00","2018-05-31 19:01:26","142.166.53.191",198,430.5833
"2018-05-10 13:22:55","2018-05-31 17:09:40","24.222.224.46",12,430.3167
"2018-04-16 11:50:39","2018-05-05 16:30:35","72.139.199.163",214,430.1833
"2018-02-12 20:00:26","2018-03-12 17:18:38","72.139.197.166",226,426.0333
"2018-01-13 18:23:58","2018-02-22 18:56:33","45.3.31.120",218,421.6333
"2018-04-19 14:52:27","2018-05-31 18:34:33","162.255.114.71",274,415.4167
"2018-04-30 16:05:23","2018-05-04 19:45:18","24.50.162.224",124,415.1000
"2018-01-09 16:33:48","2018-05-24 13:28:08","216.19.183.20",245,415.0333
"2018-04-16 12:35:29","2018-05-05 13:51:57","72.139.194.107",294,411.0667
"2018-02-11 12:11:49","2018-02-17 20:21:05","209.171.88.80",92,409.9000
"2018-01-26 18:51:41","2018-02-07 15:53:46","99.237.125.69",63,409.8333
"2018-01-02 15:07:47","2018-01-03 22:43:10","96.95.108.54",226,404.9833
"2018-01-19 14:54:42","2018-02-08 15:05:38","162.255.114.196",71,404.9667
"2018-04-25 17:15:29","2018-05-31 14:39:19","45.3.20.186",359,399.9833
"2018-01-16 15:20:29","2018-05-31 16:00:53","24.172.174.222",275,399.9167
"2018-05-09 16:13:53","2018-05-31 19:01:54","23.16.253.205",327,398.6500
"2018-01-03 15:50:11","2018-05-31 16:50:51","24.172.171.10",220,396.0167
"2018-05-07 12:04:11","2018-05-15 06:20:13","72.139.192.224",126,392.0333
"2018-04-15 20:56:14","2018-05-06 13:45:38","72.139.198.65",248,390.8333
"2018-03-19 12:20:37","2018-04-18 16:22:11","45.3.0.239",208,389.9333
"2018-04-05 13:14:43","2018-05-01 17:52:56","24.114.102.15",160,388.9667
"2018-05-07 13:22:33","2018-05-23 12:53:51","72.139.195.139",237,385.9333
"2018-01-02 17:24:51","2018-02-21 22:12:34","68.38.233.8",306,385.5333
"2018-01-03 14:19:22","2018-04-05 11:54:06","76.10.149.3",38,385.0667
"2018-05-04 18:04:09","2018-05-31 15:31:07","76.70.167.167",137,382.8167
"2018-04-05 16:22:19","2018-04-11 16:20:58","174.7.184.174",150,381.6167
"2018-01-01 01:51:56","2018-01-26 02:08:40","142.162.30.15",177,378.5333
"2018-01-04 14:17:28","2018-01-22 13:35:11","64.229.140.46",163,375.7167
"2018-01-01 02:48:04","2018-02-03 03:29:37","209.171.88.64",220,373.3333
"2018-02-20 13:07:01","2018-03-02 18:05:33","184.151.36.188",132,372.8833
"2018-03-16 10:13:48","2018-04-05 12:31:14","45.3.30.98",180,367.5833
"2018-03-12 11:57:34","2018-03-21 16:28:57","72.139.201.75",62,366.3833
"2018-05-08 14:35:42","2018-05-22 15:38:16","69.157.26.154",139,366.0000
"2018-01-23 14:54:27","2018-03-01 21:32:40","45.3.26.222",244,363.6167
"2018-01-02 18:57:04","2018-01-21 00:55:20","50.92.93.11",506,363.5667
"2018-05-07 11:16:37","2018-05-22 19:21:57","72.139.205.123",260,361.5167
"2018-03-26 13:28:30","2018-04-12 22:10:59","184.151.36.133",140,361.1000
"2018-04-04 16:47:27","2018-04-13 15:44:20","45.3.7.70",144,358.4667
"2018-01-05 13:56:49","2018-01-23 18:54:20","24.114.66.76",181,356.5000
"2018-03-05 18:12:22","2018-03-18 11:34:55","24.114.102.107",152,355.2333
"2018-01-06 20:01:44","2018-05-26 21:08:11","50.92.51.1",63,352.6667
"2018-04-19 14:02:42","2018-05-31 14:26:24","99.254.124.131",176,348.3500
"2018-02-04 18:48:28","2018-02-17 15:19:46","72.139.205.239",18,345.8667
"2018-04-11 17:24:03","2018-05-31 18:58:28","74.219.94.186",122,345.6833
"2018-03-12 11:16:32","2018-03-15 19:02:18","142.162.1.26",156,345.4333
"2018-04-19 13:09:41","2018-04-25 14:55:21","24.50.165.169",292,345.3667
"2018-01-07 21:18:34","2018-01-13 19:55:24","208.114.129.9",18,344.9833
"2018-01-03 19:33:15","2018-05-30 14:57:21","72.38.161.206",79,344.7667
"2018-05-07 15:53:38","2018-05-30 23:32:31","104.157.99.211",54,342.9833
"2018-02-13 18:16:49","2018-03-17 17:31:27","24.50.160.127",164,342.6667
"2018-04-25 16:45:01","2018-05-04 19:40:56","45.3.17.217",176,341.3167
"2018-05-06 11:24:01","2018-05-30 15:48:00","98.159.46.72",292,335.7667
"2018-05-07 11:09:49","2018-05-31 17:56:01","72.139.193.74",194,334.8333
"2018-02-22 19:33:20","2018-03-16 01:09:29","45.3.13.159",206,333.7667
"2018-04-18 12:35:36","2018-05-08 14:16:06","142.166.53.1",135,332.9000
"2018-01-26 11:39:17","2018-02-01 20:08:17","142.162.0.12",200,332.7167
"2018-03-05 14:50:52","2018-04-16 17:27:55","70.80.123.99",18,332.6000
"2018-02-05 12:29:29","2018-02-08 18:41:39","142.162.0.78",180,328.1833
