"id_sensor","subsriber_reg_ip","cloudpbx__reg_ip"
501,36313944,3227975248
801,38275016,3227975505
801,38288127,3227975505
801,38288751,3227975505
801,38290524,3227975505
801,38293631,3227975505
801,38299537,3227975505
801,38308767,3227975505
801,38310123,3227975505
801,38315014,3227975505
801,38323387,3227975505
801,38326102,3227975505
801,38328482,3227975505
801,38330033,3227975505
801,38332368,3227975505
801,38333325,3227975505
801,38340271,3227975505
801,38340576,3227975505
801,38340677,3227975505
801,38341824,3227975505
801,38349593,3227975505
801,38350785,3227975505
801,38354816,3227975505
801,38360867,3227975505
801,38362754,3227975505
801,38363464,3227975505
801,38371380,3227975505
801,38371565,3227975505
801,38372535,3227975505
801,38372644,3227975505
801,38376646,3227975505
801,38379155,3227975505
801,38379471,3227975505
801,38382982,3227975505
801,38383692,3227975505
801,38384104,3227975505
801,38385816,3227975505
801,38386506,3227975505
801,38389479,3227975505
801,38390150,3227975505
801,38392746,3227975505
801,38394561,3227975505
801,38394805,3227975505
801,38395216,3227975505
801,38401142,3227975505
801,38401243,3227975505
801,38401760,3227975505
902,41732323,1654599248
801,41732323,3227975505
501,41732971,3227975248
801,41733101,3227975505
902,41733955,1654599248
501,41733955,3227975248
801,41733955,3227975505
902,41733976,1654599248
501,41733976,3227975248
801,41733976,3227975505
902,41734083,1654599248
801,42303097,3227975505
501,42715638,3227975248
501,94843456,3227975248
802,94843456,3227975505
24,202947106,1654599248
501,202947106,3227975249
501,214319874,3227975248
24,215430723,1654599248
501,215430723,3227975249
802,215430723,3227975484
801,215430723,3227975505
24,215430727,1654599248
801,215430727,3227975484
801,215430727,3227975505
902,215430735,1654599248
802,217763626,3227975504
801,217809230,3227975504
902,243845606,1654599248
502,245438762,3227975248
801,245438762,3227975505
24,386933003,1654599248
502,386933003,3227975248
801,386933003,3227975505
502,386946050,3227975248
502,386947599,3227975249
801,386947599,3227975504
502,386961018,3227975248
801,386961018,3227975505
502,386965699,3227975248
501,386966137,3227975249
801,386966137,3227975504
502,386985224,3227975248
501,386989096,3227975248
902,386989517,1654599248
501,386989517,3227975248
501,386989957,3227975248
902,386993829,1654599249
801,386993829,3227975504
24,391184443,1654599249
801,391184443,3227975504
801,391184443,3227975505
902,391878663,1654599249
902,393442323,1654599248
801,393442323,3227975505
802,393629959,3227975484
801,393629959,3227975505
502,401193751,3227975248
801,401193751,3227975505
801,403493921,3227975505
902,404020096,1654599248
502,404020096,3227975248
801,404020096,3227975505
902,404024613,1654599248
501,404024613,3227975248
801,404024613,3227975505
501,404081717,3227975248
902,404098255,1654599248
502,404098255,3227975248
801,404098255,3227975505
501,404656989,3227975248
24,405082387,1654599248
24,405133426,1654599248
801,405133426,3227975505
902,405877596,1654599249
801,405877596,3227975504
801,405971071,3227975504
801,405971101,3227975504
801,405971412,3227975504
801,405971428,3227975504
801,405971506,3227975504
501,405971532,3227975249
801,405971678,3227975504
801,405971679,3227975504
801,405971680,3227975504
801,405971786,3227975504
801,405971847,3227975504
801,405971864,3227975504
24,405971887,1654599248
801,405971887,3227975504
801,405971922,3227975504
801,405971922,3227975505
902,405972176,1654599249
801,405972176,3227975505
24,405972221,1654599248
801,405972322,3227975504
801,405972322,3227975505
902,405972393,1654599248
801,405972393,3227975504
801,405972604,3227975504
801,405972613,3227975504
24,405972958,1654599248
24,405973060,1654599248
801,405973258,3227975504
801,405973273,3227975504
902,405973363,1654599248
902,405973363,1654599249
801,405973363,3227975504
24,405973365,1654599249
801,405973365,3227975504
801,405973365,3227975505
801,405973434,3227975504
902,405973449,1654599249
802,405973449,3227975504
801,405973597,3227975504
801,405973628,3227975504
801,405973636,3227975504
902,405973726,1654599249
801,405973726,3227975504
801,405973728,3227975504
24,405973741,1654599248
801,405973886,3227975504
801,405973897,3227975504
802,405973915,3227975504
801,405973920,3227975504
801,405973920,3227975505
902,405973956,1654599249
801,405973956,3227975504
902,405974021,1654599248
801,405974021,3227975504
801,405974225,3227975504
24,405974320,1654599249
802,405974330,3227975504
902,405974384,1654599249
801,405974384,3227975504
801,405974442,3227975504
802,405974558,3227975504
801,405974810,3227975504
902,405974869,1654599248
801,405974869,3227975504
24,405975261,1654599249
801,405975261,3227975504
802,405975351,3227975504
801,405975557,3227975504
24,405975594,1654599248
801,405975594,3227975504
801,405975733,3227975504
801,405976237,3227975504
802,405976275,3227975504
801,405976310,3227975504
801,405976616,3227975505
802,405976683,3227975504
801,405976840,3227975504
801,405976840,3227975505
801,405977053,3227975504
24,405977187,1654599249
501,405977187,3227975248
801,405977187,3227975504
801,405977188,3227975504
801,405977522,3227975504
902,405977619,1654599248
902,405977619,1654599249
801,405977619,3227975504
24,405977883,1654599248
24,405977949,1654599249
801,405977949,3227975504
24,405978084,1654599248
801,405978084,3227975504
801,405978301,3227975504
24,405978381,1654599248
801,405978381,3227975504
801,405978554,3227975505
802,405978584,3227975504
902,405978963,1654599249
801,405978963,3227975504
24,406211235,1654599249
802,406548208,3227975504
502,407051730,3227975248
501,407061635,3227975249
902,407092585,1654599248
502,407092585,3227975248
801,407092585,3227975505
24,407096164,1654599248
502,407096164,3227975248
801,407096164,3227975505
501,407364792,3227975248
802,407364792,3227975505
501,407365032,3227975248
501,407371763,3227975248
902,407905521,1654599248
801,407905521,3227975505
902,407911751,1654599248
801,407911751,3227975505
902,407911773,1654599248
502,407911773,3227975248
801,407911773,3227975505
902,407918446,1654599249
501,407918446,3227975248
801,407918446,3227975505
902,407924248,1654599248
902,407924248,1654599277
501,407924248,3227975248
501,407924248,3227975249
801,407924248,3227975484
502,407927167,3227975249
501,407931356,3227975249
502,407933359,3227975249
502,407949706,3227975248
801,407949706,3227975505
501,407950515,3227975248
501,407950571,3227975248
24,407953015,1654599248
502,407953015,3227975248
801,407953015,3227975505
502,408198197,3227975248
502,408198199,3227975248
801,408198199,3227975505
501,408226899,3227975248
801,408226899,3227975505
501,408246979,3227975248
501,408277306,3227975249
502,408310735,3227975249
24,408397590,1654599248
502,408397590,3227975248
801,408397590,3227975505
501,408397647,3227975248
801,408397647,3227975505
902,408408257,1654599248
902,408408257,1654599249
902,408408257,1654599277
501,408408257,3227975248
501,408408257,3227975249
801,408408257,3227975484
801,408408257,3227975504
801,408408257,3227975505
902,408408457,1654599248
902,408408457,1654599277
501,408408457,3227975248
501,408408457,3227975249
801,408408457,3227975484
801,408408457,3227975504
902,409023835,1654599248
902,409640138,1654599248
801,409640138,3227975505
502,409744409,3227975249
502,409744844,3227975248
502,409744844,3227975249
801,409744844,3227975505
501,410129931,3227975248
501,410129967,3227975248
501,410130011,3227975248
501,410130078,3227975249
502,410130096,3227975249
501,410130137,3227975249
502,410130204,3227975249
501,410130287,3227975248
802,410130352,3227975504
502,410130404,3227975248
801,410130404,3227975505
501,410130407,3227975249
501,410130554,3227975249
501,410130628,3227975249
502,410130638,3227975248
501,410130653,3227975249
501,410130666,3227975249
501,410130722,3227975248
501,410130769,3227975249
501,410130804,3227975249
502,410130856,3227975249
501,410130882,3227975249
501,410130945,3227975248
501,410130966,3227975248
801,410130966,3227975505
502,410131035,3227975248
501,410131087,3227975249
501,410131099,3227975249
501,410131147,3227975249
502,410131154,3227975248
501,410131159,3227975248
501,410131169,3227975249
501,410131257,3227975248
502,410131258,3227975249
502,410131297,3227975249
501,410131314,3227975248
502,410131334,3227975248
801,410131334,3227975505
501,410131338,3227975248
801,410131338,3227975505
902,410131342,1654599248
501,410131369,3227975249
501,410131381,3227975249
501,410131397,3227975248
502,410133544,3227975249
501,410133555,3227975248
501,410133574,3227975249
501,410133584,3227975249
501,410133680,3227975249
501,410133705,3227975249
501,410133770,3227975249
502,410133779,3227975249
502,410133807,3227975248
902,410133832,1654599277
501,410133832,3227975248
501,410133832,3227975249
501,410133843,3227975248
501,410133860,3227975248
502,410133894,3227975249
501,410133901,3227975249
501,410133932,3227975249
501,410133944,3227975248
501,410133970,3227975249
501,410133984,3227975249
501,410134031,3227975249
501,410134047,3227975249
