,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_asip,b_saddr_asn,b_saddr_asorg,b_saddr_asip
68385765,2018-02-15,3227975507,416063811,393755,CloudPBX,192.102.255.83,174,Cogent Communications,24.204.161.67
64500737,2018-01-01,3227975506,416559370,393755,CloudPBX,192.102.255.82,35911,Telebec,24.212.49.10
65114671,2018-01-09,3227975507,416559370,393755,CloudPBX,192.102.255.83,35911,Telebec,24.212.49.10
72177498,2018-03-21,1654599250,416559370,395766,CloudPBX,98.159.46.82,35911,Telebec,24.212.49.10
77713214,2018-05-15,3227975507,416559808,393755,CloudPBX,192.102.255.83,35911,Telebec,24.212.50.192
78109998,2018-05-22,3227975506,416559808,393755,CloudPBX,192.102.255.82,35911,Telebec,24.212.50.192
78229924,2018-05-24,1654599251,416559808,395766,CloudPBX,98.159.46.83,35911,Telebec,24.212.50.192
64495700,2018-01-01,1654599250,417208698,395766,CloudPBX,98.159.46.82,11260,EastLink,24.222.25.122
64503418,2018-01-02,1654599251,417208698,395766,CloudPBX,98.159.46.83,11260,EastLink,24.222.25.122
64504520,2018-01-02,3227975507,417208698,393755,CloudPBX,192.102.255.83,11260,EastLink,24.222.25.122
64505313,2018-01-02,3227975506,417208698,393755,CloudPBX,192.102.255.82,11260,EastLink,24.222.25.122
71331570,2018-03-15,3227975251,417208698,395152,CloudPBX,192.102.254.83,11260,EastLink,24.222.25.122
71361378,2018-03-15,3227975250,417208698,395152,CloudPBX,192.102.254.82,11260,EastLink,24.222.25.122
64490829,2018-01-01,1654599250,417208700,395766,CloudPBX,98.159.46.82,11260,EastLink,24.222.25.124
64494555,2018-01-01,1654599251,417208700,395766,CloudPBX,98.159.46.83,11260,EastLink,24.222.25.124
64916625,2018-01-08,3227975507,417208700,393755,CloudPBX,192.102.255.83,11260,EastLink,24.222.25.124
65551645,2018-01-16,3227975506,417208700,393755,CloudPBX,192.102.255.82,11260,EastLink,24.222.25.124
71399392,2018-03-15,3227975251,417208700,395152,CloudPBX,192.102.254.83,11260,EastLink,24.222.25.124
71492351,2018-03-16,3227975250,417208700,395152,CloudPBX,192.102.254.82,11260,EastLink,24.222.25.124
64492824,2018-01-01,3227975250,417230089,395152,CloudPBX,192.102.254.82,11260,EastLink,24.222.109.9
64499670,2018-01-01,3227975251,417230089,395152,CloudPBX,192.102.254.83,11260,EastLink,24.222.109.9
64506055,2018-01-02,3227975506,417230089,393755,CloudPBX,192.102.255.82,11260,EastLink,24.222.109.9
64508550,2018-01-02,3227975507,417230089,393755,CloudPBX,192.102.255.83,11260,EastLink,24.222.109.9
64517551,2018-01-02,1654599251,417230089,395766,CloudPBX,98.159.46.83,11260,EastLink,24.222.109.9
64519195,2018-01-02,1654599250,417230089,395766,CloudPBX,98.159.46.82,11260,EastLink,24.222.109.9
77075436,2018-05-09,3227975506,417259566,393755,CloudPBX,192.102.255.82,11260,EastLink,24.222.224.46
77116448,2018-05-09,3227975507,417259566,393755,CloudPBX,192.102.255.83,11260,EastLink,24.222.224.46
77342913,2018-05-11,3227975250,417259566,395152,CloudPBX,192.102.254.82,11260,EastLink,24.222.224.46
77374135,2018-05-11,3227975251,417259566,395152,CloudPBX,192.102.254.83,11260,EastLink,24.222.224.46
78156075,2018-05-23,1654599251,417259566,395766,CloudPBX,98.159.46.83,11260,EastLink,24.222.224.46
69981160,2018-03-03,3227975507,418065571,393755,CloudPBX,192.102.255.83,23184,PERSONA COMMUNICATIONS INC.,24.235.44.163
64508758,2018-01-02,3227975507,418079237,393755,CloudPBX,192.102.255.83,812,Rogers Communications Canada Inc.,24.235.98.5
64508843,2018-01-02,3227975506,418079237,393755,CloudPBX,192.102.255.82,812,Rogers Communications Canada Inc.,24.235.98.5
66101208,2018-01-23,1654599251,418079237,395766,CloudPBX,98.159.46.83,812,Rogers Communications Canada Inc.,24.235.98.5
66117289,2018-01-23,3227975250,418079237,395152,CloudPBX,192.102.254.82,812,Rogers Communications Canada Inc.,24.235.98.5
66119454,2018-01-23,1654599250,418079237,395766,CloudPBX,98.159.46.82,812,Rogers Communications Canada Inc.,24.235.98.5
66137276,2018-01-23,3227975251,418079237,395152,CloudPBX,192.102.254.83,812,Rogers Communications Canada Inc.,24.235.98.5
72113609,2018-03-21,3227975507,418652415,393755,CloudPBX,192.102.255.83,6327,Shaw Communications Inc.,24.244.32.255
70056852,2018-03-05,3227975507,418784162,393755,CloudPBX,192.102.255.83,5645,"TekSavvy Solutions, Inc.",24.246.35.162
68709074,2018-02-20,3227975507,429063979,393755,CloudPBX,192.102.255.83,The address 25.146.255.43 is not in the database.,The address 25.146.255.43 is not in the database.,The address 25.146.255.43 is not in the database.
65292227,2018-01-11,3227975506,583269890,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.2
70542993,2018-03-08,1654599250,583269891,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.3
70841320,2018-03-11,3227975507,583269891,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.3
65213586,2018-01-10,3227975506,583269892,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.4
71000571,2018-03-13,3227975507,583269892,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.4
65237752,2018-01-11,3227975250,583269893,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.5
71508607,2018-03-16,3227975251,583269896,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.8
64553295,2018-01-02,1654599251,583269897,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.9
71746498,2018-03-19,3227975251,583269897,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.9
71980432,2018-03-20,3227975506,583269897,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.9
65325050,2018-01-12,3227975251,583269898,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.10
77359374,2018-05-11,3227975507,583269898,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.10
77425259,2018-05-12,3227975506,583269898,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.10
68204272,2018-02-14,3227975250,583269900,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.12
70999980,2018-03-13,3227975507,583269900,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.12
65089811,2018-01-09,1654599250,583269901,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.13
65189310,2018-01-10,1654599251,583269903,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.15
70684374,2018-03-09,3227975506,583269903,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.15
72702248,2018-03-23,1654599250,583269907,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.19
65189832,2018-01-10,3227975250,583269908,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.20
77442689,2018-05-12,3227975506,583269909,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.21
64690911,2018-01-03,3227975250,583269910,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.22
70840980,2018-03-11,3227975506,583269910,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.22
74269298,2018-04-12,3227975250,583269914,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.26
70514212,2018-03-08,3227975251,583269920,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.32
65224750,2018-01-11,3227975251,583269922,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.34
70467767,2018-03-07,1654599250,583269922,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.34
64532006,2018-01-02,1654599250,583269926,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.38
74508441,2018-04-13,3227975250,583269926,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.38
65206212,2018-01-10,3227975506,583269927,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.39
66160230,2018-01-23,3227975250,583269927,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.39
78602808,2018-05-29,3227975507,583269927,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.39
70644251,2018-03-08,3227975506,583269928,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.40
74985611,2018-04-19,1654599250,583269928,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.40
68203551,2018-02-14,3227975251,583269932,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.44
71339717,2018-03-15,3227975250,583269932,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.44
76189254,2018-05-01,1654599251,583269932,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.44
70717343,2018-03-09,1654599251,583269934,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.46
65178768,2018-01-10,1654599250,583269939,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.51
65324761,2018-01-12,3227975251,583269939,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.51
73624517,2018-04-05,3227975506,583269939,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.51
68203647,2018-02-14,3227975251,583269947,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.59
70840884,2018-03-11,3227975506,583269947,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.59
70840962,2018-03-11,3227975507,583269947,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.59
78669096,2018-05-30,3227975250,583269947,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.59
71266730,2018-03-14,1654599250,583269951,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.63
78692871,2018-05-30,3227975251,583269951,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.63
65762139,2018-01-18,3227975506,583269955,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.67
65506799,2018-01-15,1654599250,583269956,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.68
65983507,2018-01-22,3227975251,583269956,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.68
70828326,2018-03-11,3227975250,583269956,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.68
70847316,2018-03-12,3227975507,583269956,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.68
65435959,2018-01-14,3227975250,583269957,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.69
66170147,2018-01-24,3227975251,583269957,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.69
70840403,2018-03-11,3227975507,583269959,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.71
70840784,2018-03-11,3227975507,583269960,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.72
65052893,2018-01-09,1654599251,583269961,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.73
70847100,2018-03-12,3227975506,583269961,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.73
70644852,2018-03-08,3227975507,583269962,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.74
71640000,2018-03-17,3227975251,583269966,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.78
72448745,2018-03-24,3227975250,583269968,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.80
72672294,2018-03-22,1654599250,583269968,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.80
64690850,2018-01-03,3227975251,583269970,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.82
70508391,2018-03-08,3227975250,583269970,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.82
70847054,2018-03-12,3227975507,583269970,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.82
70840710,2018-03-11,3227975506,583269972,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.84
65799819,2018-01-18,1654599250,583269973,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.85
65199746,2018-01-10,3227975506,583269976,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.88
68291653,2018-02-15,3227975251,583269976,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.88
70847132,2018-03-12,3227975507,583269976,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.88
67728448,2018-02-09,3227975250,583269980,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.92
68973417,2018-02-22,3227975507,583269980,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.92
68284499,2018-02-15,3227975251,583269982,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.94
70788418,2018-03-09,3227975250,583269982,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.94
70841304,2018-03-11,3227975506,583269982,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.94
74078919,2018-04-10,3227975506,583269983,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.95
69212823,2018-02-23,3227975251,583269985,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.97
69278581,2018-02-26,3227975507,583269985,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.97
73671980,2018-04-06,3227975250,583269985,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.97
70847229,2018-03-12,3227975506,583269986,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.98
71266062,2018-03-14,1654599251,583269987,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.99
72185834,2018-03-22,3227975506,583269988,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.100
72701445,2018-03-23,1654599250,583269988,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.100
65201919,2018-01-10,3227975507,583269989,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.101
76312132,2018-05-02,3227975251,583269990,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.102
77224747,2018-05-10,3227975250,583269990,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.102
65927711,2018-01-20,3227975250,583269992,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.104
73531656,2018-04-05,3227975251,583269992,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.104
66327961,2018-01-25,3227975251,583269993,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.105
65278225,2018-01-11,3227975506,583269994,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.106
71543009,2018-03-16,1654599251,583269996,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.108
64513530,2018-01-02,1654599250,583269997,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.109
70841200,2018-03-11,3227975506,583269997,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.109
75383231,2018-04-23,3227975250,583269997,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.109
73251952,2018-04-03,3227975251,583270002,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.114
70682703,2018-03-09,3227975506,583270003,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.115
73719293,2018-04-06,3227975250,583270003,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.115
73723539,2018-04-06,3227975251,583270005,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.117
73798413,2018-04-07,3227975250,583270005,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.117
65323823,2018-01-12,3227975251,583270006,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.118
66767121,2018-01-31,3227975507,583270006,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.118
72448953,2018-03-24,3227975251,583270009,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.121
70847119,2018-03-12,3227975506,583270010,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.122
70841047,2018-03-11,3227975506,583270012,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.124
72032261,2018-03-21,3227975250,583270013,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.125
70847288,2018-03-12,3227975506,583270014,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.126
70722771,2018-03-09,1654599250,583270015,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.127
73070639,2018-03-31,3227975251,583270015,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.127
65338534,2018-01-12,1654599251,583270017,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.129
70697174,2018-03-09,1654599250,583270019,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.131
70847109,2018-03-12,3227975506,583270019,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.131
77420525,2018-05-12,3227975507,583270019,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.131
64690852,2018-01-03,3227975251,583270020,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.132
67038005,2018-02-02,3227975251,583270024,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.136
71260795,2018-03-14,1654599251,583270026,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.138
70573555,2018-03-08,1654599251,583270027,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.139
71638543,2018-03-17,3227975250,583270027,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.139
65305091,2018-01-11,3227975507,583270028,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.140
77615600,2018-05-15,3227975507,583270033,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.145
65323759,2018-01-12,3227975250,583270037,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.149
65325094,2018-01-12,3227975251,583270037,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.149
70841301,2018-03-11,3227975507,583270037,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.149
65418676,2018-01-13,3227975250,583270038,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.150
65445571,2018-01-15,3227975251,583270039,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.151
65926383,2018-01-20,3227975250,583270040,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.152
65448870,2018-01-15,3227975250,583270042,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.154
66217359,2018-01-24,1654599250,583270042,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.154
68172732,2018-02-14,3227975506,583270045,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.157
65636844,2018-01-16,3227975250,583270048,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.160
74583127,2018-04-16,3227975251,583270048,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.160
78428677,2018-05-28,3227975506,583270048,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.160
78497739,2018-05-28,3227975507,583270048,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.160
70841019,2018-03-11,3227975507,583270051,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.163
70847200,2018-03-12,3227975506,583270051,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.163
70723372,2018-03-09,1654599250,583270052,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.164
70847115,2018-03-12,3227975507,583270054,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.166
74110403,2018-04-10,3227975251,583270056,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.168
65068092,2018-01-09,1654599250,583270058,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.170
65160407,2018-01-10,3227975506,583270058,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.170
68266463,2018-02-14,3227975251,583270058,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.170
71553197,2018-03-16,3227975507,583270059,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.171
77426659,2018-05-12,3227975506,583270059,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.171
77823625,2018-05-17,1654599251,583270059,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.171
64839722,2018-01-05,1654599250,583270060,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.172
65301001,2018-01-11,3227975506,583270061,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.173
72672280,2018-03-22,1654599250,583270061,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.173
78602857,2018-05-29,3227975507,583270061,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.173
71099028,2018-03-13,1654599251,583270065,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.177
65376818,2018-01-12,1654599250,583270070,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.182
70644751,2018-03-08,3227975506,583270070,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.182
65396896,2018-01-12,3227975507,583270071,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.183
74109278,2018-04-10,3227975250,583270074,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.186
65120977,2018-01-10,3227975250,583270077,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.189
70793265,2018-03-10,3227975250,583270078,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.190
67515839,2018-02-07,3227975507,583270079,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.191
71505093,2018-03-16,3227975250,583270081,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.193
72665169,2018-03-27,3227975250,583270082,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.194
70211787,2018-03-06,3227975251,583270083,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.195
71508377,2018-03-16,3227975250,583270083,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.195
64491668,2018-01-01,3227975250,583270084,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.196
78680225,2018-05-30,3227975251,583270085,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.197
68537594,2018-02-17,3227975250,583270086,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.198
64606855,2018-01-03,3227975251,583270090,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.202
71339504,2018-03-15,3227975250,583270091,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.203
65227843,2018-01-11,3227975250,583270092,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.204
65290119,2018-01-11,1654599251,583270093,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.205
70958360,2018-03-12,1654599250,583270093,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.205
72429184,2018-03-23,3227975250,583270094,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.206
70603724,2018-03-08,1654599251,583270100,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.212
71412284,2018-03-15,3227975507,583270100,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.212
72448890,2018-03-24,3227975251,583270100,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.212
68338664,2018-02-15,3227975251,583270101,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.213
71645215,2018-03-17,3227975506,583270101,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.213
70847155,2018-03-12,3227975506,583270103,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.215
70999856,2018-03-13,3227975507,583270103,393755,CloudPBX,192.102.255.83,14618,"Amazon.com, Inc.",34.195.254.215
65983779,2018-01-22,1654599250,583270105,395766,CloudPBX,98.159.46.82,14618,"Amazon.com, Inc.",34.195.254.217
73665326,2018-04-06,3227975250,583270105,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.217
65301088,2018-01-11,3227975506,583270107,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.219
68292876,2018-02-15,3227975250,583270109,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.221
70840733,2018-03-11,3227975506,583270109,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.221
65254325,2018-01-11,1654599251,583270110,395766,CloudPBX,98.159.46.83,14618,"Amazon.com, Inc.",34.195.254.222
65814281,2018-01-18,3227975251,583270110,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.222
68386600,2018-02-15,3227975251,583270111,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.223
70793051,2018-03-10,3227975250,583270112,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.224
68204301,2018-02-14,3227975250,583270115,395152,CloudPBX,192.102.254.82,14618,"Amazon.com, Inc.",34.195.254.227
64603419,2018-01-03,3227975251,583270116,395152,CloudPBX,192.102.254.83,14618,"Amazon.com, Inc.",34.195.254.228
68244643,2018-02-14,3227975506,583270116,393755,CloudPBX,192.102.255.82,14618,"Amazon.com, Inc.",34.195.254.228
