,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
146,3227975251,3475127854,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6171,WorldGate,207.34.62.46,53.55,-113.5,False
149,1674011774,3227975251,852,TELUS Communications Inc.,99.199.100.126,49.2667,-122.7833,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
166,3227975250,1168009517,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,577,Bell Canada,69.158.105.45,43.7878,-79.1564,False
173,3487050211,3227975250,852,TELUS Communications Inc.,207.216.41.227,49.2646,-123.1648,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
184,1176754522,3227975507,22652,Fibrenoire Inc.,70.35.217.90,44.25,-80.55,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
192,3330677851,3227975507,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
194,3227975507,3330677851,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,False
198,1614103491,3227975250,6327,Shaw Communications Inc.,96.53.67.195,49.0787,-121.6098,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
212,3227975251,3463712682,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,206.116.15.170,49.2327,-123.0917,False
214,3349638548,3227975507,22652,Fibrenoire Inc.,199.167.109.148,43.6564,-79.386,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
234,1614226523,3227975251,6327,Shaw Communications Inc.,96.55.36.91,49.1889,-122.873,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
235,1090362003,3227975250,19171,Stargate Connections Inc.,64.253.154.147,49.2666,-123.1976,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
236,3227975250,1090362003,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,19171,Stargate Connections Inc.,64.253.154.147,49.2666,-123.1976,False
238,1176778026,3227975251,40029,Novus Entertainment Inc.,70.36.53.42,49.2788,-123.1139,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
249,1176754522,3227975506,22652,Fibrenoire Inc.,70.35.217.90,44.25,-80.55,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
256,3227975250,3475127854,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,6171,WorldGate,207.34.62.46,53.55,-113.5,False
263,3227975507,1176754522,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,22652,Fibrenoire Inc.,70.35.217.90,44.25,-80.55,False
265,3463715872,3227975250,852,TELUS Communications Inc.,206.116.28.32,49.3615,-123.2627,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
272,1653560604,3227975250,19171,Stargate Connections Inc.,98.143.85.28,49.2475,-123.121,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
273,3227975250,1653560604,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,19171,Stargate Connections Inc.,98.143.85.28,49.2475,-123.121,False
292,3227975250,1090360654,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,19171,Stargate Connections Inc.,64.253.149.78,49.2866,-123.1158,False
294,1674011774,3227975250,852,TELUS Communications Inc.,99.199.100.126,49.2667,-122.7833,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
298,3640363090,3227975250,14007,Skyway West,216.251.136.82,49.2788,-123.1139,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
299,3227975250,3640363090,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,14007,Skyway West,216.251.136.82,49.2788,-123.1139,False
307,3227975506,3349638548,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,22652,Fibrenoire Inc.,199.167.109.148,43.6564,-79.386,False
310,3349638548,3227975506,22652,Fibrenoire Inc.,199.167.109.148,43.6564,-79.386,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
314,1090360550,3227975251,19171,Stargate Connections Inc.,64.253.148.230,49.2866,-123.1158,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
317,1090360462,3227975250,19171,Stargate Connections Inc.,64.253.148.142,49.2866,-123.1158,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
328,3227975251,3330677851,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,False
364,3227975250,875246285,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,16509,"Amazon.com, Inc.",52.43.50.205,45.8696,-119.688,False
370,3091631882,3227975251,6327,Shaw Communications Inc.,184.70.143.10,49.2788,-123.1139,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
383,1613813930,3227975251,6327,Shaw Communications Inc.,96.48.216.170,49.0997,-122.6526,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
387,3463713115,3227975251,852,TELUS Communications Inc.,206.116.17.91,43.6319,-79.3716,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
405,408226899,3227975250,6327,Shaw Communications Inc.,24.85.12.83,49.17,-123.1368,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
412,3624749586,3227975251,15290,Allstream Corp.,216.13.74.18,43.5924,-79.7611,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
423,875246285,3227975251,16509,"Amazon.com, Inc.",52.43.50.205,45.8696,-119.688,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
435,3478238498,3227975251,852,TELUS Communications Inc.,207.81.181.34,49.25,-123.1333,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
454,3227975250,3632003165,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,216.123.248.93,53.4609,-113.4519,False
459,3227975251,1653560604,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,19171,Stargate Connections Inc.,98.143.85.28,49.2475,-123.121,False
468,3349638557,3227975506,22652,Fibrenoire Inc.,199.167.109.157,43.6564,-79.386,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
493,3091347451,3227975251,6327,Shaw Communications Inc.,184.66.55.251,48.4765,-123.3145,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
509,3227975251,875246285,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,16509,"Amazon.com, Inc.",52.43.50.205,45.8696,-119.688,False
524,2728149921,3227975250,852,TELUS Communications Inc.,162.156.67.161,49.1838,-121.9046,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
532,2914320357,3227975250,852,TELUS Communications Inc.,173.180.255.229,49.2196,-122.6164,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
553,3227975250,1613813930,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,6327,Shaw Communications Inc.,96.48.216.170,49.0997,-122.6526,False
565,3227975250,1674011774,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,99.199.100.126,49.2667,-122.7833,False
572,1614103491,3227975251,6327,Shaw Communications Inc.,96.53.67.195,49.0787,-121.6098,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
576,3487077158,3227975251,852,TELUS Communications Inc.,207.216.147.38,49.2436,-122.7865,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
597,1613813930,3227975250,6327,Shaw Communications Inc.,96.48.216.170,49.0997,-122.6526,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
601,3227975251,2919755137,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6327,Shaw Communications Inc.,174.7.237.129,49.2475,-123.121,False
