,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
370,3091631882,6327,Shaw Communications Inc.,49.2788,-123.1139,3227975251,395152,CloudPBX,43.6319,-79.3716
383,1613813930,6327,Shaw Communications Inc.,49.0997,-122.6526,3227975251,395152,CloudPBX,43.6319,-79.3716
387,3463713115,852,TELUS Communications Inc.,43.6319,-79.3716,3227975251,395152,CloudPBX,43.6319,-79.3716
405,408226899,6327,Shaw Communications Inc.,49.17,-123.1368,3227975250,395152,CloudPBX,43.6319,-79.3716
412,3624749586,15290,Allstream Corp.,43.5924,-79.7611,3227975251,395152,CloudPBX,43.6319,-79.3716
423,875246285,16509,"Amazon.com, Inc.",45.8696,-119.688,3227975251,395152,CloudPBX,43.6319,-79.3716
435,3478238498,852,TELUS Communications Inc.,49.25,-123.1333,3227975251,395152,CloudPBX,43.6319,-79.3716
454,3227975250,395152,CloudPBX,43.6319,-79.3716,3632003165,852,TELUS Communications Inc.,53.4609,-113.4519
459,3227975251,395152,CloudPBX,43.6319,-79.3716,1653560604,19171,Stargate Connections Inc.,49.2475,-123.121
493,3091347451,6327,Shaw Communications Inc.,48.4765,-123.3145,3227975251,395152,CloudPBX,43.6319,-79.3716
509,3227975251,395152,CloudPBX,43.6319,-79.3716,875246285,16509,"Amazon.com, Inc.",45.8696,-119.688
524,2728149921,852,TELUS Communications Inc.,49.1838,-121.9046,3227975250,395152,CloudPBX,43.6319,-79.3716
532,2914320357,852,TELUS Communications Inc.,49.2196,-122.6164,3227975250,395152,CloudPBX,43.6319,-79.3716
553,3227975250,395152,CloudPBX,43.6319,-79.3716,1613813930,6327,Shaw Communications Inc.,49.0997,-122.6526
565,3227975250,395152,CloudPBX,43.6319,-79.3716,1674011774,852,TELUS Communications Inc.,49.2667,-122.7833
572,1614103491,6327,Shaw Communications Inc.,49.0787,-121.6098,3227975251,395152,CloudPBX,43.6319,-79.3716
576,3487077158,852,TELUS Communications Inc.,49.2436,-122.7865,3227975251,395152,CloudPBX,43.6319,-79.3716
597,1613813930,6327,Shaw Communications Inc.,49.0997,-122.6526,3227975250,395152,CloudPBX,43.6319,-79.3716
601,3227975251,395152,CloudPBX,43.6319,-79.3716,2919755137,6327,Shaw Communications Inc.,49.2475,-123.121
617,3463715872,852,TELUS Communications Inc.,49.3615,-123.2627,3227975251,395152,CloudPBX,43.6319,-79.3716
621,3463713115,852,TELUS Communications Inc.,43.6319,-79.3716,3227975250,395152,CloudPBX,43.6319,-79.3716
624,1090360654,19171,Stargate Connections Inc.,49.2866,-123.1158,3227975250,395152,CloudPBX,43.6319,-79.3716
658,3350650146,19171,Stargate Connections Inc.,49.2478,-122.9938,3227975251,395152,CloudPBX,43.6319,-79.3716
664,1090360654,19171,Stargate Connections Inc.,49.2866,-123.1158,3227975251,395152,CloudPBX,43.6319,-79.3716
676,3350650150,19171,Stargate Connections Inc.,49.2478,-122.9938,3227975251,395152,CloudPBX,43.6319,-79.3716
677,3227975251,395152,CloudPBX,43.6319,-79.3716,3350650146,19171,Stargate Connections Inc.,49.2478,-122.9938
687,3227975250,395152,CloudPBX,43.6319,-79.3716,3463713115,852,TELUS Communications Inc.,43.6319,-79.3716
766,3227975251,395152,CloudPBX,43.6319,-79.3716,1178985642,6327,Shaw Communications Inc.,49.2068,-122.4851
806,2919736882,6327,Shaw Communications Inc.,49.299,-123.1408,3227975251,395152,CloudPBX,43.6319,-79.3716
810,3473289373,852,TELUS Communications Inc.,49.2666,-123.1976,3227975251,395152,CloudPBX,43.6319,-79.3716
880,1674006569,852,TELUS Communications Inc.,49.3397,-123.1912,3227975250,395152,CloudPBX,43.6319,-79.3716
899,3227975250,395152,CloudPBX,43.6319,-79.3716,2919736882,6327,Shaw Communications Inc.,49.299,-123.1408
961,3227975251,395152,CloudPBX,43.6319,-79.3716,1268517701,852,TELUS Communications Inc.,49.2492,-123.1104
1016,1268517701,852,TELUS Communications Inc.,49.2492,-123.1104,3227975251,395152,CloudPBX,43.6319,-79.3716
1022,1268517701,852,TELUS Communications Inc.,49.2492,-123.1104,3227975250,395152,CloudPBX,43.6319,-79.3716
1063,3227975251,395152,CloudPBX,43.6319,-79.3716,1168009517,577,Bell Canada,43.7878,-79.1564
1137,1090361019,19171,Stargate Connections Inc.,49.1707,-122.7326,3227975250,395152,CloudPBX,43.6319,-79.3716
1160,1653560604,19171,Stargate Connections Inc.,49.2475,-123.121,3227975251,395152,CloudPBX,43.6319,-79.3716
1297,3227975251,395152,CloudPBX,43.6319,-79.3716,1674006569,852,TELUS Communications Inc.,49.3397,-123.1912
1311,3227975251,395152,CloudPBX,43.6319,-79.3716,1823229904,852,TELUS Communications Inc.,49.2475,-123.121
1368,3227975250,395152,CloudPBX,43.6319,-79.3716,1268517701,852,TELUS Communications Inc.,49.2492,-123.1104
1486,1674010043,852,TELUS Communications Inc.,49.2275,-122.9301,3227975250,395152,CloudPBX,43.6319,-79.3716
3026,3345303600,14007,Skyway West,43.623,-79.3936,3227975251,395152,CloudPBX,43.6319,-79.3716
3027,3227975251,395152,CloudPBX,43.6319,-79.3716,3345303600,14007,Skyway West,43.623,-79.3936
3407,3345303600,14007,Skyway West,43.623,-79.3936,3227975250,395152,CloudPBX,43.6319,-79.3716
3408,3227975250,395152,CloudPBX,43.6319,-79.3716,3345303600,14007,Skyway West,43.623,-79.3936
4276,3227975250,395152,CloudPBX,43.6319,-79.3716,1676935419,812,Rogers Communications Canada Inc.,43.0614,-80.9943
4298,1676935419,812,Rogers Communications Canada Inc.,43.0614,-80.9943,3227975250,395152,CloudPBX,43.6319,-79.3716
4656,2892906962,15290,Allstream Corp.,43.6655,-79.4204,3227975250,395152,CloudPBX,43.6319,-79.3716
5763,3227975251,395152,CloudPBX,43.6319,-79.3716,1676935419,812,Rogers Communications Canada Inc.,43.0614,-80.9943
7364,1806931219,5645,"TekSavvy Solutions, Inc.",43.6784,-79.2941,3227975250,395152,CloudPBX,43.6319,-79.3716
7603,3227975251,395152,CloudPBX,43.6319,-79.3716,3332465478,6171,WorldGate,53.4914,-113.4802
7747,3227975250,395152,CloudPBX,43.6319,-79.3716,3091461651,6327,Shaw Communications Inc.,49.1285,-122.6236
8235,3640368282,14007,Skyway West,48.4167,-123.365,3227975251,395152,CloudPBX,43.6319,-79.3716
8496,3227975251,395152,CloudPBX,43.6319,-79.3716,1090360938,19171,Stargate Connections Inc.,49.1707,-122.7326
8538,3455714514,852,TELUS Communications Inc.,49.076,-121.9883,3227975250,395152,CloudPBX,43.6319,-79.3716
8541,3227975250,395152,CloudPBX,43.6319,-79.3716,1268596475,852,TELUS Communications Inc.,49.0384,-122.3485
8622,3640368787,14007,Skyway West,49.2807,-123.0397,3227975251,395152,CloudPBX,43.6319,-79.3716
8943,3227975250,395152,CloudPBX,43.6319,-79.3716,3640368787,14007,Skyway West,49.2807,-123.0397
8957,3227975250,395152,CloudPBX,43.6319,-79.3716,3332465478,6171,WorldGate,53.4914,-113.4802
9479,3640368282,14007,Skyway West,48.4167,-123.365,3227975250,395152,CloudPBX,43.6319,-79.3716
9684,1677282775,812,Rogers Communications Canada Inc.,44.0433,-79.4912,3227975250,395152,CloudPBX,43.6319,-79.3716
11052,3227975250,395152,CloudPBX,43.6319,-79.3716,3626900266,11478,Openface Inc.,45.47,-73.6686
11068,1178711303,6327,Shaw Communications Inc.,49.6511,-112.8351,3227975251,395152,CloudPBX,43.6319,-79.3716
11069,3227975250,395152,CloudPBX,43.6319,-79.3716,407950571,6327,Shaw Communications Inc.,49.2788,-123.1139
11429,3640368787,14007,Skyway West,49.2807,-123.0397,3227975250,395152,CloudPBX,43.6319,-79.3716
11583,3227975250,395152,CloudPBX,43.6319,-79.3716,1677282775,812,Rogers Communications Canada Inc.,44.0433,-79.4912
11618,3512424079,852,TELUS Communications Inc.,53.585,-113.5526,3227975251,395152,CloudPBX,43.6319,-79.3716
11625,1208104646,6327,Shaw Communications Inc.,49.0997,-122.6526,3227975250,395152,CloudPBX,43.6319,-79.3716
11628,3227975250,395152,CloudPBX,43.6319,-79.3716,3455714514,852,TELUS Communications Inc.,49.076,-121.9883
