,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
4463,1654599250,395766,CloudPBX,40.7432,-75.2242,2914253051,5769,Videotron Telecom Ltee,45.5528,-73.6411
4566,2393249330,855,Bell Canada,47.5124,-52.6729,1654599250,395766,CloudPBX,40.7432,-75.2242
4626,1654599250,395766,CloudPBX,40.7432,-75.2242,2393249330,855,Bell Canada,47.5124,-52.6729
4666,3638379610,7992,Cogeco Cable,42.9888,-82.3592,1654599250,395766,CloudPBX,40.7432,-75.2242
4752,1654599251,395766,CloudPBX,40.7432,-75.2242,2393249330,855,Bell Canada,47.5124,-52.6729
4833,1096686281,577,Bell Canada,46.7749,-71.3344,1654599251,395766,CloudPBX,40.7432,-75.2242
4848,1676840295,812,Rogers Communications Canada Inc.,48.9682,-54.5906,1654599251,395766,CloudPBX,40.7432,-75.2242
4851,1654599251,395766,CloudPBX,40.7432,-75.2242,2394021867,855,Bell Canada,45.0691,-64.4696
4890,2393257342,855,Bell Canada,47.5334,-52.7595,1654599250,395766,CloudPBX,40.7432,-75.2242
4969,3345303600,14007,Skyway West,43.623,-79.3936,1654599251,395766,CloudPBX,40.7432,-75.2242
4971,1654599251,395766,CloudPBX,40.7432,-75.2242,3345303600,14007,Skyway West,43.623,-79.3936
5126,2392989210,855,Bell Canada,47.5986,-52.6926,1654599251,395766,CloudPBX,40.7432,-75.2242
5441,2393257058,855,Bell Canada,47.5334,-52.7595,1654599250,395766,CloudPBX,40.7432,-75.2242
5457,1676918269,812,Rogers Communications Canada Inc.,43.0443,-81.2391,1654599251,395766,CloudPBX,40.7432,-75.2242
5503,1654599250,395766,CloudPBX,40.7432,-75.2242,2904575889,812,Rogers Communications Canada Inc.,47.5986,-52.6926
5580,1210508163,7992,Cogeco Cable,42.9888,-82.3592,1654599251,395766,CloudPBX,40.7432,-75.2242
5609,2393314965,855,Bell Canada,47.5194,-52.8122,1654599250,395766,CloudPBX,40.7432,-75.2242
5820,1612181439,5769,Videotron Telecom Ltee,45.4667,-73.8833,1654599250,395766,CloudPBX,40.7432,-75.2242
5852,855010549,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,1654599251,395766,CloudPBX,40.7432,-75.2242
5857,1611994918,5769,Videotron Telecom Ltee,46.8287,-71.334,1654599251,395766,CloudPBX,40.7432,-75.2242
5858,1654599251,395766,CloudPBX,40.7432,-75.2242,1611994918,5769,Videotron Telecom Ltee,46.8287,-71.334
5860,2393098834,855,Bell Canada,47.5124,-52.6729,1654599250,395766,CloudPBX,40.7432,-75.2242
5979,2393098834,855,Bell Canada,47.5124,-52.6729,1654599251,395766,CloudPBX,40.7432,-75.2242
